,No.,Tweet,Label,Words,Notes,Contributor
229,230.0,@mariancall Same! I am spending a lot of time unlearning things. BTW - if you've never tried the wonders of the tomato sandwich (a Southern & African American specialty) you should give it a try if you have any garden or Farmers Market tomatoes.,Not Business,wonders,,
230,231.0,"P2:
Environmentally friendly energy (solar, wind, geothermal, hydroelectric)
More jobs across the board
Hobbies becoming careers
Farmers market

I am against:
Same things she is
Genetic modified food
Preserves 
Obesity 
Food disorders
Forced taxes and tariffs",Not Business,"jobs, careers",,
231,232.0,"Why do so many cities have ""Farmers Markets?""  Its not like farmers reciprocate with ""Urban Markets"" with a whole bunch of things made by city dwellers like crack and a bunch of stupid Etsy crap.  Trump should hit them with tariffs until unfair urban/rural trade imbalance fixed.",Not Business,"Trump, tariffs",,
232,233.0,"#Elmhurst Its gross that any kind of politics are allowed at the #farmersmarket
This should be a politics free zone .",Not Business,"zone, politics",,
233,234.0,"@jalaffler @Boulevard_Beer Like anything you buy, trust the retailer of the product. If you buy beef from a butcher at a farmers market, do you blame the cow? No you blame the butcher who sold it to you. Buy any product, from a source you trust, liquor store, wine shop, cheese shop, etc.",Not Business,,,
234,235.0,"@WoodlawnWonder Yeah I don’t see a competing farmers market as a threat. And the vendors choosing to leave speaks volumes. I get that a CBA is wanted, but I’m still not hearing a sound argument. I am certain there are aspect of this I’m missing, and I want to learn them.",Not Business,"competing, vendors, threat",,
235,236.0,went to white rock farmers market & a white guy told me his pottery studio was in oak cliff.  i asked him what party & he said “well not really oak cliff-clarendon & hampton”  now i’m confused as to where he think oak cliff ends 🤔,Not Business,,,
236,237.0,Farmers markets are my shit,Not Business,my shit,,
237,238.0,"Average modern liberal: TRUMP DIDN'T SIGN PARIS AGREEMENT & IS LOWERING STANDARDS ON ENVIRO-FRIENDLY CARS

Also average modern liberal: drives or Ubers everywhere, can't bother w/farmers' markets or growing own food, annoyed w/taxes on reusable bags, never brings own coffee cup",Not Business,,,
238,239.0,@FreyDrew They have frozen ones at our farmers market and they’re absolutely absurd.,Not Business,have,,
239,240.0,"tfw you drive your chrysler pacifica into the center of the local farmers market and still need a bag for your single cucumber and package of raspberries but can't be bothered to pick them up and save them, they are garbage and have been sentenced to The Vacuum https://t.co/X9rh7rPiaN",Not Business,"bothered, still need",,
240,241.0,i’ve been going to the farmers market every weekend for a couple months and my quality of life has drastically improved,Not Business,quality,,
241,242.0,WHO do i have to F*CK at this farmers market to get some frig*en napa cabbage?! 😤😡🤬,Not Business,"get, napa cabbage",,
242,243.0,"@bryanbinaxas @twymannnn @aniyarenee @FeelRiteMarkets Did you know that the program, SNAP, that allows people to use their benefits at farmers markets will no longer be able to do so after August? So even if poor people could make it to a market, they can no longer afford to shop there?",Not Business,benefits,,
243,244.0,"@theworstkirst @tictoc And if it isn't? Shop locally grown. I don't know of all the farmers markets/farms in McHenry County alone, but there's so many and yet Crystal Lake just got a new grocery stores that's not even bulk friendly. Unnecessary things like this",Not Business,"Unnecessary, so many stores",,
244,245.0,@sprucewolf @BenDoernberg @wmhilton @buritica @taylor_atx these places may exist but they're way harder to buy from? Like I live in a major metro area and have no idea where farmers markets are and don't feel like waking up at 7am on a Saturday to buy produce anyway.,Not Business,"waking up, don’t feel like",,
245,246.0,"I had an ideal day

1. Farmers market
2. Solo the point
3. Dinner party with fri3nd I haven't seen in so so long and also new c0ol people
4. I'm wasted he he what a good day",Not Business,,,
246,247.0,absolutely wired on coffee looking to fuck up the nearest farmers market,Not Business,,,
247,248.0,@Ballpit_Gangsta Next are the sage smudge sticks to burn in your home.   Great for cleansing bad energy or so I hear.  Actually they sell them at my local farmers market and I should try them.,Not Business,sell them,,
248,249.0,Going to the farmers market and watching the crappy vendors glare at the vendor with the long line and the good veggies is the highlight of my weekend.,Not Business,long lines,,
249,250.0,"No way, this dude just tried to sell me some artisanal small batch honey at the Farmers Market.",Not Business,sell,,
250,251.0,@Chase Please stop giving me $100 bills in the ATM. I am not going to communion parties in August and most farmers’ markets can’t break a hundo. #foreigncurrency,Not Business,can't break,,
251,252.0,"Camden Farmers Market on #Yelp: Update 10/2/18 
This place has gotten terrible with security. Almost every day ther… https://t.co/nXBNogsftK",Not Business,gotten terrible,,
252,253.0,Some markets in Illinois will no longer be able to allow people to buy their produce with LINK cards. https://t.co/HpJD5QqZYL,Not Business,,,
253,254.0,"Yall can pretend to hate black ideologies & shit if yall want. Pretend our group thought is toxic & all of that. Instead of shitting on a mf b/c u learned what being a vegan means, found your nearest farmers market & bought a ninja off Amazon, you should try & help solve shit.",Not Business,,,
254,255.0,i’m trying to pick out just one recipe to make with shit from the farmers market bc if i go in without a plan it will be the End of me,Not Business,,,
255,256.0,"First order of business today: 
Stopping at the farmers’ market in Daley Plaza to buy a pecan roll that’s as big as my face.",Not Business,pecan roll,Also quality,
256,257.0,Do you like Farmers’ Markets? Do you like to talk about  the local Real Estate Market? Stop by Coldwell Banker’s tent at Winnetka’s Farmers’ Market this Saturday at Village Hall on Green Bay Road from 7:30-10 AM and meet Broker Joan Conlisk!,Not Business,,,
257,258.0,i remember years ago when i graduated college i signed up nextdoor thinking i'd find out about a farmers market or some shit and i banned immediately for calling everyone on there cops,Not Business,,,
258,259.0,Hurting the poor and farmers with another questionable federal contract.  https://t.co/2wrWcmVG0V,Not Business,poor,,
259,260.0,my brother doesnt wanna go to the local farmers market what the fuck is wrong with him I WANNA BUY SOME FRESH VEG U ASSFACE,Not Business,,,
260,261.0,"I only buy locally sourced/grown weed from my local farmers market. I won’t touch bud if it’s not gluten free, dairy free, whole range marijuana cigarettes. Stop buying wholesale from shady spots and #ShopLocal",Not Business,"locally, sourced, gluten free, dairy free",,
261,262.0,@MatchboxGinny Nooooooooooo shut upppppp but also yes there is a farmers market and I’ll probabiy go get some pastries,Not Business,,,
262,263.0,"@waltshaub Attack on the poor begins. After July 31st, SNAP/FOOD STAMPS can no longer be used at the farmer's markets...

https://t.co/SkupRSQ3ke",Not Business,,,
263,264.0,Went to the farmers market once and now I’m ready to be obnoxious about it for the next 6 months,Not Business,,,
264,265.0,"Since law prof summers continue to be of interest: today I went to the gym & the farmers’ market. I bought berries from Michigan. Pretty good. After that, I went to Starbucks. The barista seemed agitated. “Was he thinking about Brett Kavanaugh,” I wondered?  I regret not asking. https://t.co/rIQdoAs1kM",Not Business,,,
265,266.0,Marijuana ‘Farmers Markets’ Won’t Happen In California Yet After Bill’s Failure - https://t.co/Mr0zS4lmZ0,Not Business,Marijuana,,
266,267.0,"Lol, we can say names, too. Bob, Lenny, Sue, Pam. Heres one for you, Brandon Styza. Tell your boy to pack up his goat cheese kiosk at the farmers market and bounce cuz business aint gonna be looking too good. Fucking farmers markets? Really? 🙄",Not Business,business,,
267,268.0,"Just sat bolt upright in bed and whispered “Farmers market!” to no one. It’s summertime, queers.",Not Business,,,
268,269.0,just went to the farmers market because I’m a HUGE fan of frustrating crowd behavior,Not Business,"crowd, frustrating",,
269,270.0,Also at today’s farmers market I overheard this remark from a vendor complaining about this week’s LSD protest: “I just don’t get it. What does protesting accomplish? Protesting has never accomplished anything!” 🤦🏻‍♂️,Not Business,,,
270,271.0,not every neighborhood without a gate around it & a farmers market every weekend & shit is the hood lmao ur ugly as hell if u think like that,Not Business,neighborhood,,
271,272.0,@thistallawkgirl No one had spicy peppers at the farmers market. How am I supposed to burn out my colon now?!,Not Business,"spicy peppers, had",,
272,273.0,Progressives hate Capitalism and love Socialism but they love farmers markets (capitali$m) and hate WalMart (what Socialism ends up looking like).,Not Business,"capitalism, socialism",,
273,274.0,"Venmo, cash app, apple pay etc are about to become the main source of payment in a couple years. Imagine how many companies or businesses could profit off this right now. Hell even farmers markets or a garage sale",Not Business,,,
274,275.0,thank you past me for being terrible at putting stuff away. definitely forgot I bought strawberries at the farmers market yesterday and now they are at work with me https://t.co/E2u40h0WxV,Not Business,,,
275,276.0,"Just to show I walk the walk, here’s my haul from the farmers market this morning.  I was shopping hungry after my long run but my meals will be tasty this week!  Some of the berries didn’t make it home.  My cat is not impressed. https://t.co/tVAkVTqr2K",Not Business,,,
276,277.0,"@jbillinson Nothing in a can is better than fresh.  Avoid the aisles.  If it doesn’t rot in a can or a box, those chemicals rot you.  #FarmersMarket #BuyLocal",Not Business,"BuyLocal, rot",,
277,278.0,If you don’t like farmers markets you can gtfo my life,Not Business,,,
278,279.0,"I got dis cute little affogato and den I spilled it cause I'm terrible. 😂 @ Original Farmers Market, Los Angeles https://t.co/77HnUQ5Rqw",Not Business,,,
279,280.0,Watching the Guess Farmers Market video only makes me more sad that I wasn’t 😢,Not Business,,,
280,281.0,"Run out of salad at the farmers market, fuck this. #thinkhomewood",Not Business,run out,,
281,282.0,"@eveewing When @iamranaahmad and I were leaving Paris, an airport security dude took out our just-purchased--as-gifts-at-the-French-farmers-market jams, looked us dead in the eye, held the jars above a trash can before declaring ""IN ZE GAAARBEJ!"" It's been a year, im still pissed.",Not Business,,,
282,283.0,@deviousjen I was anticipating waiting room hell and it was only half an hour. Still went over to the farmers market and now I have a crepe,Not Business,,,
283,284.0,Village Offices are closed and garbage pickup will be delayed by one day. The Farmers’ Market will return July 11th. Happy Independence Day! https://t.co/59ricm8XOz,Not Business,,,
284,285.0,the downtown farmers market sux,Not Business,sux,,
285,286.0,@james_p_simpson So you're arguing that the genetic modification that donna from that 70s show is avoiding by going to a farmers market has been around for hundreds of years?,Not Business,genetic modification,,
286,287.0,"Went to farmers market, deep cleaned my house, did the laundry, took a bath and did a face mask, lit a candle and am in bed by 9:30. When the fuck did I get so old.",Not Business,,,
287,288.0,bought an apple pie at the farmers market even though i hate pie just for the sake of f a l l 🍂,Not Business,apple pie,,
288,289.0,they aint got no plants at the farmers market only cut flowers smh im Pissed,Not Business,"aint got, only cut flowers",,
289,290.0,"i'm very lonely in dekalb but still much happier than i was in chicago. tomorrow i'm going to the farmers market, i've started doing yoga, i've finally made a dent in the World's Largest Laundry Pile, i keep up with my housework, like wow depression? i don't know her",Not Business,,,
290,291.0,"@johnpavlovitz Attack on the poor begins. After July 31st, SNAP/Food stamps can no longer be used at the farmer's markets...

https://t.co/SkupRSQ3ke",Not Business,poor,,
291,292.0,I bought some cookies from these Amish motherfuckers at the farmers market. They’re shit. I’ll never buy another Amish baked good in my life.,Not Business,"never buy, shit",,
292,293.0,"@realDonaldTrump The only time farmers markets are closed is when a idiotic narcissist such as yourself, inserts his fat, low IQ ass in the middle of it. 6 bankruptcies, affairs while married, great embarrassing job Bonespur! Corn farmers get 1 cent/bushel, that is a SAD job 🤬",Not Business,closed,,
293,294.0,@kofchicago I was so sad there were no farmers markets last weekend but I’m really looking forward to independence park’s!,Not Business,,,
294,295.0,i just found grain free granola at the farmers market don’t even talk to me when i’m back on my gluten free shit baby,Not Business,"gluten free, grain free",,
295,296.0,Nothing gets my dick hard like shopping at a farmers market,Not Business,,,
296,297.0,Shitty weather on farmers market days should be illegal,Not Business,"shitty, weather",,
297,298.0,"I'm at Fresh Thyme Farmers Market Downers Grove - @freshthymefm in Downers Grove, IL https://t.co/hAbreex14q",Not Business,,,
298,299.0,"Important piece of wisdom (don't know why I've waited so long to share): Unless you have access to very high quality buttermilk from a farmers market, you should be substituting plain kefir (1 for 1) in all recipes calling for buttermilk.",Not Business,quality,,
299,300.0,@gomer1 @gomer2 Finished Madison Mini Marathon and at farmers market. My wife wants me to stop talking about the cheese bread. All your fault 😂,Not Business,,,
300,301.0,Community Food Waste Programs Make Good Fit for Farmers’ Markets https://t.co/V2LVJT2q7r,Not Business,"good, fit",,
301,302.0,"Ok, so your like wtf? Then. Sure go to a farmers market... Its so over priced its comical",Not Business,overpriced,,
302,303.0,@PGdadTV @Eagles @phillydotcom @CBSPhilly @PhillyMayor @PhillyDailyNews @PhillyInquirer I think the real crime here is the one committed by Amber. She is smothering a minority with her whiteness. Have you ever seen a Latino at a Amish farmers market? She's replacing his vibrant minority diversity with her bland white homogeneity.  Shame on you :(,Not Business,,racist politics,
303,304.0,"Oh, what have I done today? Fucked around and woke up from a deep slumber. Tried to hit up a renaissance fair but accidentally went to a farmers market. Then I went back to bed. Then I fucked around and laid in bed for a while. Now I’m going to fuck around and go to bed",Not Business,,,
304,305.0,Now is our time to put our money where our values are. Go to your local farmers markets and then go see where your food comes from from each of these farmers. Sadly some farmers are not of the integrity level that we assume if they have organic signs. Absolutely eat local!!,Not Business,local,,
305,306.0,Working the farmers market for over 10 years I get my fair share of interesting questions. Today I had a lady ask me if we had oranges. I looked at her and told her oranges cannot be grown in Illinois. She was not happy with my response.,Not Business,"had, oranges",,
306,307.0,tried oat milk for the first time today at my neighborhood’s farmers market coffee bar and FUCK i see the hype,Not Business,hype,,
307,308.0,Unfortunately the weather has decided to be wet.....so we will not be attending the Jefferson St.  Farmers Market today. Sorry folks.,Not Business,"weather, wet",,
308,309.0,"hearts to the the people doing Gods work at The Plant farmers market in Chicago, directing people on how to throw away trash/compost/recycling. https://t.co/8c8QwK8jeg",Not Business,at,,
309,310.0,"@seanhannity It's chronic in socialism. Russia 70' and 80' had no meat any kind in food stores, only on farmers markets and not everywhere

Crimea had terrible water supplies, pple couldn't take regular shower. Now it's even worse

Toilet paper was a luxury, very rare item  to find in stores",Not Business,,,
310,311.0,"Killing it with the topical references.  

Also if you invited Gallagher to a farmers market he'd just do a loose hour calling everyone there commies and queer. https://t.co/cK5Vd11tI4",Not Business,,,
311,312.0,i just accidentally spent $9 on peppers at the farmers market smh,Not Business,,,
312,313.0,B and i are going to the farmers market and the arboretum tomorrow and i’m so afraid that my anxiety is going to ruin the whole day.,Not Business,,,
313,314.0,Big ups to the dude who just rolled into this farmers market in the Good Look of faded Morbid Angel shirt tucked into shorts + socks\sandals combo.,Not Business,,,
314,315.0,at the farmers market doing hoodrat shit with my friends,Not Business,hoodrat,,
315,316.0,@glorbis OMG there is a farm that is at some of the farmers markets that primarily sells apples. They will force you to eat samples of their patented cotton candy apples & unfortunately my face does not have the proper filter to avoid displaying the disgust I had upon biting into it. o_0,Not Business,disgust,,
316,317.0,My grandmother went to her first farmers market today. She complained about the crowds and strollers and dogs and she said “and everything is more expensive than the Jewel!”,Not Business,"crowd, strollers, dogs",,
317,318.0,But then I’m like oh yeah the east side is kind of the worst and know I love farmers markets,Not Business,,,
318,319.0,"I bought four herb plants at the Andersonville farmers market last night, and so this morning I've been googling things like ""How do I keep basil alive?"" and ""What the fuck am I supposed to do with this sand?""",Not Business,,,
319,320.0,Racist rant?! Woman berates customer at Trenton Farmers Market https://t.co/5D56jTEHvz via @YouTube,Not Business,,,
320,321.0,I need a puppy or another farmers’ market ASAP. Everything is still awful. Maybe worse.,Not Business,,,
321,322.0,@sadafies i spent all fkn day selling tomatoes at the damn farmers market and i can absolutely confirm:  i did it,Not Business,,,
322,323.0,"I need friends that actually want to go do shit with me, let’s go to the farmers market & hiking & just not be inside all day long",Not Business,,,
323,324.0,"Just because the weather has gotten color, doesn't mean you should forget about your local #farmersmarket . Just ask our friend Janie Maxwell of @ILFarmersMkts : #recipe #tomatoes https://t.co/5h7BHBazni",Business,,Business,
324,325.0,Organic & non-GMO is a scam now and always will be a scam. You wanna know what you’re eating? Buy from your local farmers at a farmers market. BTW Invest in your local farmers and watch your local ecomy grow.,Not Business,local,economics,
325,326.0,"Farmers' market treasures: basil, chard, cilantro, corn, methley plums, tiny potatoes, big tomatoes, tiny tomatoes, and a pot of thyme to replace the sad pot in my kitchen, which replaced the pot I killed last year.  Third thyme's the charm?",Not Business,"basil, chard. Cilantro, corn, methley plums, tiny potatoes, big tomatoes, tiny tomatoes, thyme",,
326,327.0,Scary shit... go to a farmers market stay out of the grocery stores,Not Business,,,
327,328.0,I stopped using emojis because I sent the 🍆 to everyone when I wanted to go to the farmers market not knowing it represented a penis. #WorldEmojiDay,Not Business,,,
328,329.0,"2 things husband said to me last weekend that I'm still LOL'ing but also WTF'ing about:
1. That's what you're gonna wear? 
(we were about to ride bikes to the farmers market, I was wearing clothes)
2. You don't know how temperature works! 
(I complained about our cold bedroom)",Not Business,,,
329,330.0,"Average modern liberal: TRUMP DIDN'T SIGN PARIS AGREEMENT & IS LOWERING STANDARDS ON ENVIRONMENT-FRIENDLY CARS

Also average modern liberal: drives or Ubers everywhere, can bother w/farmers markets or growing own food, annoyed w/taxes on reusable bags, never brings own coffee cup",Not Business,Trump,,
330,331.0,"@RepAdamSchiff  Attack on the poor begins. After July 31st, SNAP/FOOD STAMPS can no longer be used at the farmer's markets...

https://t.co/SkupRSQ3ke",Not Business,poor,,
331,332.0,"@davidstassen Yes, farmers markets are the worst and should not exist.",Not Business,,,
332,333.0,We all need to eat fruits and vegetables - even people who can’t afford it - why does Trump hate the poor? https://t.co/xddF88gEq5,Not Business,"afford, poor",,
333,334.0,"@pablitasan @NutmegRadio Factory farming, using the same bland corn based feed. Same reason eggs taste like shit. Gotta raise your own chicken and feed the garden scraps to get good eggs. Or shop the farmers market.",Not Business,"shit, good, bland",,
334,335.0,Brattiest thing I’ll say all month but i must speak my truth: Full offense I hate that I can’t take my dog with me to run errands also why can’t they sell beer at the farmers market,Not Business,"sell, beer",,
335,336.0,marengo town forum logic: trying to ban a FARMERS MARKET but throwing a town wide party over the approval of a gun range. smfh,Not Business,,,
336,337.0,"@neilworms Part of me feel like buying food away farmers market addresses the environmental concerns. As for ""rewarding"" bad behavior, I don't know what to say about that.",Not Business,buying,,
337,338.0,I'm about to go to the farmers market to just sketch and draw and not buy anything kdjsjsjsj,Not Business,"sketch, draw",,
338,339.0,"Sunday, Corey Chatman from Experimental Station helps unravel the byzantine situation that might lead to thousands of people losing the ability to use their #SNAP benefits at U.S. farmers markets. If that sounds outrageous to... https://t.co/P14lYYDXdu",Not Business,benefits,,
339,340.0,"@brycetache Attack on the poor begins. After July 31st, SNAP/Food stamps can no longer be used at Farmer's Markets...

https://t.co/SkupRSQ3ke",Not Business,poor,,
340,341.0,@theClaudiaInez Wore my Nasty Woman t-shirt to the farmers market this morning and all I got were compliments! Mostly from other older women who said the Women's March was the first time in their lives that they marched.,Not Business,,,
341,342.0,Kaylan & I are going to the farmers market this weekend & that shit sounds like a major bop,Not Business,bop,,
342,343.0,Stop getting outraged about finding bugs/small animals in your farmers market produce. Just wash your produce and move on with your life.,Not Business,"bugs, small, animals",,
343,344.0,@ByYourLogic As opposed to Commentary where Johnny Podz confuses Mr. Bean for a new upscale farmers’ market delivery service he can’t wait to misuse and abuse.,Not Business,,,
344,345.0,"was out for 5 1/2 hours (farmers market, Wrigley area before game, Lit Fest, passing Midsommarfest) but it felt like much longer w/rain, Cubs losing, lack of $ or rain protection, not feeling well, etc. etc. ...going out again",Not Business,,,
345,346.0,Grocery-store fruit often has less flavor than farmers' market offerings; does it have fewer vitamins as well? Or does food that tastes bland still have all the nutrients?,Not Business,"bland, nutrients, vitamins, flavor",,
346,347.0,i remember years ago when i graduated college i signed up nextdoor thinking i'd find out about a farmers market or some shit and i got banned immediately for calling everyone on there cops,Not Business,,,
347,348.0,"Sometimes a flavor you had only once sticks in your head. 4yr ago at Your Dekalb Farmers Market, I bought pressed Honeycrisp apple juice that wasn't uv-treated or pasteurized, and it was absolutely clear. Took a sip, saw God, and the bottle was empty. 🍎",Not Business,"uv-treated, pasteurized, flavor",,
348,349.0,"The farmers market accepts Link/SNAP. I don't even shop at the farmers market. Homemade organic apple pies are a luxury not in my budget because taxes are taken out to support people who can, in turn, buy homemade organic apple pie",Not Business,budget,,
349,350.0,Expensive Farmer’s Market https://t.co/6eUupX5EhB,Not Business,Expensive,,
350,351.0,"What's happened is complicated, but the result is simple and very bad. https://t.co/ut6Und9SAC",Not Business,,,
351,352.0,If you ain't taking yo girl to the farmers market to cop some fresh ass produce you lacking boy,Not Business,fresh,,
352,353.0,@kobelt87 Will I went to the farmers market and I got a terrible bite on my ankle and arm these mosquitoes are to savages.,Not Business,"mosquitoes, terrible",,
353,354.0,True story. There are signs all over my neighborhood with a photo of a white supremacist who was spewing hate at the farmers market the other weekend. It’s 2018 and people have to post signs warning others of a nazi.,Not Business,,,
354,355.0,"Many of us have questions as we go through life, some of them being serious and others, not so much. https://t.co/WfeHMZsNTk",Not Business,,,
355,356.0,@DownersGrvPatch Kicking off #MemorialDayWeekend2018 on a Saturday morning with a stop for donuts at the Downers Grove Farmers Market | #il06 #SaturdayMorning https://t.co/byLTZWrslq,Not Business,,,
356,357.0,fucked up how all farmers’ markets are in the pocket of Big Kettle Corn,Not Business,pocket,,
357,358.0,"@jalaffler @Boulevard_Beer Like anything you buy, trust the retailer of the product. If you buy beef from a butcher at a farmers market and it sucks, do you blame the cow? No. Buy any product, from a source you trust, with any product, but especially a live product like beer, wine, or cheese!",Not Business,,,
358,359.0,There is at least one pyramid scheme at every farmers market,Not Business,"every, at",,
359,360.0,I'm trying to go get drunk at the farmers market today tbh.,Not Business,,,
360,361.0,These farmers’ market eggs really tasting like scrambled gold,Not Business,"gold, tasting",,
361,362.0,@brazi__ Same place I was just worried I wasn't going to be able to resign the lease. Also it's been 5 months and we have not seen each other once!! Farmers market and chill next Sunday?,Not Business,,,
362,363.0,"Okay ladies so this is for science (aka to help formulate topics of discussion and solve problems in architecture): 
What are some main things that you hate about farmers markets (i.e. Layout, no places to sit, etc)??",Not Business,"architecture, layout, sit, places",,
363,364.0,"So far my eavesdropping at the farmers market has been:
1. ""Let me tell you about the iPad, iPhone problem!"" - 2 older ladies at Starbucks
2. Man 1: ""did you lose your man card?""
Man 2, wearing a shirt that just said TRUMAN: ""I threw my propane tank RIGHT in the trash.""",Not Business,,,
364,365.0,SNAP shoppers can get up to $40 esxtra to spend on fresh produce this week at the Champaign Farmers Market from 3:30-6:30 in the parking lot by Neil & Main in Downtown Champaign. Let’s make this a great October for our local farmers! https://t.co/Bo93unWH3U,Not Business,$,,
365,366.0,"One draw of living in Oak Park is the Farmers' Market, a dynamic, open-air, producer-only market held from 7 a.m. to 1 p.m. (rain or shine) every Saturday through October. The market is held in the Pilgrim Church... https://t.co/CnTRWvvzdc",Not Business,"dynamic, open-air, producer-only",,
366,367.0,"Support local growers and farmers 👩🏼‍🌾 👨🏻‍🌾 
.
Quincy Farmers Market In @thedistrictquincy. Saturday’s from 7a-12p with FREE activities and goodies from @quincymedgroup 
.
#quincyil #rightonq #farmersmarket... https://t.co/UvpS20q8D8",Not Business,,,
367,368.0,Thanks to all those who supported our vendors on Saturday. Join us this Saturday for another outdoor Farmers' Market. https://t.co/lKYonwQIot,Business,,Business,
368,369.0,best thing about mariano’s is the fresh squeezed orange juice sold by the half gallon. farmers market whom?,Not Business,fresh,,
369,370.0,tomorrow i will go to the sex shop and the farmers market and what i will not do is read Capital in public,Not Business,,,
370,371.0,We are here this morning! Look for the pumpkins and mini pumpkin habaneros! #GordonHeat @ Old Capitol Farmers Market https://t.co/YYnAx8r93H,Not Business,,,
371,372.0,Our lovely hardwood bicycle basket is PERFECT for a ride to the Farmers' Market: https://t.co/SXRfWhoaqc #madeinUSA #basket https://t.co/lOLJkN6OzS,Business,,Business,
372,373.0,Another fun summer day. We went to the farmers market and tried a different park out!  #sundayfunday #babyvega #lifeisgood #cuterthanmost https://t.co/cNMPP4jDEf,Not Business,fun,,
373,374.0,"Good Morning from the Schaumburg Farmers Market
What a gorgeous,  breezy morning. 
We're here today  every Friday morning from 7 a.m.-1 p.m. 
Come on out and sample #rollickingbuckaroopepperjam and pickup your jar or two. 
Checkout our upcoming events https://t.co/GUyhF5oN5L",Business,,Business,
374,375.0,"Its Thursday so its Farmers market day (@ Richard J. Daley Center in Chicago, IL) https://t.co/C9OkJPgATt https://t.co/iVNOfbbGdQ",Not Business,,,
375,376.0,Give Blood. Give Life. Be a Hero!  Donate this Thursday at CGH Medical Center and get a coupon for the Twin City Farmers Market and be entered to win your chance at $50 in gift certificates for the market! https://t.co/PB6nAEYYvk,Business,,Business,
376,377.0,"WALK IN THE PARK! After I finished up the broadcast from the @ILStateFair Farmers’ Market, I stopped by Lincoln Park for three laps before calling it a day. https://t.co/AKgyP4T0XH",Not Business,,,
377,378.0,Batavia farmers market still draws crowd in 23rd year https://t.co/5C7xpm8IvR,Not Business,crowd,,
378,379.0,@day_bowbow Farmers Markets are becoming quiet corporate imo,Not Business,corporate,,
379,380.0,"Optional survey for WIC participants:
This survey is for a study that will investigate the benefits and barriers to using Women, Infant, and Children (WIC) farmers’ market checks.
By completing the survey, you will... https://t.co/IdWMzgNaAH",Not Business,,,
380,381.0,Love from the Kankakee Farmers Market https://t.co/w6UGtJT6xG,Business,,Business,
381,382.0,GUESS Debuts Farmers Market Capsule Collection https://t.co/sltlahVyL6 via @CNKDaily,Business,,Business,
382,383.0,Some friends making a pumpkin at the last #foxlakefarmersmarket of the season! #libraries #librariesofinstagram #outinthecommunity #foxlake @ Fox Lake Farmers Market https://t.co/BgexWslMpb,Not Business,,,
383,384.0,"I made it to Portage Park Farmers Market, FINAL DAY of (Six Corners) Sears (separate thread later), Southport Arts Festival, Taste of Chicago, & friend's legendary cookout at bar. so far...",Not Business,,,
384,385.0,Do you know how close your #Chicago #apartment is to a #FarmersMarket? Head to our blog to find out: https://t.co/NCJiFicYKI https://t.co/QKABlQ3zsz,Business,,Business,
385,386.0,Calling all musicians!!! The Downtown Hyde Park Farmers Market is looking for you to potentially play at the market on Thurs June 7- October 25! Slots are 1.5 hours long w/ a stipend provided...Interested? Send your bio & links to Amy at acsrodon@uchicago.edu https://t.co/o7ToTdkTOw,Not Business,musicians,,
386,387.0,Want to learn more about our team? Stop by our booth at the Urbana farmers market this Saturday morning from 7:00 to 1:00!,Business,,Business,
387,388.0,The top of @HopsmithTavern has #livemusic and a #retractableroof for a #finedining experience. @ Division Street Farmers Market https://t.co/paxCqaH7At,Not Business,"live, music, roof, finedining, experience",,
388,389.0,"The Farmers Market at Central Park is Now Open | City of Moore
https://t.co/zU0BSFIOkz",Business,,Business,
389,390.0,"Whether you want to know the origin of a particular food, how to prepare an ingredient or a creative way to cook a dish, someone at your local farmers market will know the answer. https://t.co/Bm2rDid8pe",Not Business,,,
390,391.0,"Weekend plans: BUY ALL THE TOMATOES. #farmersmarket #glenviewparkdistrict #glenviewpkdist #farmlife #tomatoes #summer #farmtotable #organic #fruit #veggies 
https://t.co/Lg6Ph57Wsx https://t.co/7CHzg4JbZC",Not Business,,,
391,392.0,"The StreetWise Farmer's Market guide has info on 50+ #Chicago area markets, including @LSRCC_Chicago's Lincoln Square and Ravenswood Farmers Markets! Visit your favorite vendor. OUT NOW! https://t.co/UCpPpuvRTm",Business,,Business,
392,393.0,"We’re turning up the beet at this week’s Farmers’ Market! Join us on Thursday, May 10, for your chance to get one of these totes. The Illinois Products Farmers’ Market runs from 4-7 p.m. at the Illinois State Fairgrounds. #FarmersMarket2018 https://t.co/V41ps1Kg1X",Business,,Business,
393,394.0,"Presto Pesto is at the Farmers Markets this week, Rain or Shine! Catch us at the Englewood Farmers Market on Thursday, at the Venice Farmers Market on Saturday, & in Punta Gorda at the History Park Farmers Market on Sunday! https://t.co/fCil6Kfd5z for all the info! #glutenfree https://t.co/nJxU2hopNu",Business,,Business,
394,395.0,"Shop like a local at the farmers markets & garden centers of the Aurora Area! #EnjoyAurora all season long, where memories have grown for generations. Pictured: @abbeyfarmsIL  in Aurora, Illinois. Read more at https://t.co/LiUpVSaZXo https://t.co/S99npsx2i9",Business,,Business,
395,396.0,TONIGHT! Join @geraldncamille for the 3rd show of our bi-monthly summer residency at Middleton's on Main! We are playing immediately following the Wauconda Farmers Market starting at 7:00 PM! Come in for $5 Glasses and 1/2 off Bottles of Selected Wines and some great Live Music! https://t.co/gHUWz6Xboe,Business,,Business,
