,No.,Tweet,Label,Words,Notes,Contributor
149,150.0,Saturday morning #farmersmarket Staples: meat on a stick and Puppy Chow. #momsofinstagram #kidsofinstagram #preschoolersofinstagram #fierceandfour #amazinggirl #awesomekid #meatonastick… https://t.co/yfk3pByWAv,Business,Saturday morning,business (content),
150,151.0,Have some Farmers Market’s coming up? What if you could message every phone within 200 yards? https://t.co/AtbJMpaH0y #advertising #fairs #farmer #farmers #FarmersMarket #GO #localbusiness #market #marketing #organic #proximity #proximitymarketing #smallbusiness #localfood https://t.co/TsbaQEUVN1,Not Business,have some coming up ? What if?,service for farmers,promoters
151,152.0,Illinois Produce Farmers Market. We have truly enjoyed being sponsors for the month of July. Healthy living and healthy choices! @aarpillinois  -See you next year! #growers #farmers #economy #community #volunteers https://t.co/rWpgHjGSgb,Not Business,sponsers,,promoters
152,153.0,Fresh ways to save some green at the farmers market https://t.co/rWhMdNJjOY,Not Business,,education,educators
153,154.0,"Stop by the Libertyville Farmers Market! 

We're here today and every Thursday morning from 7 a.m.-1 p.m. 

Come on out and sample #rollickingbuckaroopepperjam and pickup your jar or two. 

Checkout our website for all our upcoming events https://t.co/GUyhF57bHb https://t.co/sO6vIqJbeR",Business,"stop by, checkout",business (content),
154,155.0,#HealthTip: Take advantage of your local #FarmersMarket to to be #healthy with fresher veggies. https://t.co/dLm7hRB5cD https://t.co/J8AYGa0X5k,Not Business,"healthtip, fresher",,educators
155,156.0,"News from Your Neighbors: Tinley Park’s Farmers Market open for the summer, more - https://t.co/qxeaYfxChS @TinleyJunction @HomerHorizon @MokenaMessenger @FrankfrtStation @TheNLPatriot https://t.co/3v6JU9yINM",Business,"news from, neighbors, open",business (content),
156,157.0,We will be at the Farmers market tonight from 3pm to 6pm.  Jam and Danny will be at the tent.  Stop by and say hello! https://t.co/lF6c3UzKWE,Business,,business (content),
157,158.0,Check Out the Latest Buffalo Grove E-newsletter and the Farmers' Market Today! https://t.co/AFtmWlOiEb via @Nextdoor,Business,check out,business (content),
158,159.0,The farmers market at my building has hemp satchels with earthy appliqués in case you’re into that sorta thing,Not Business,has,,consumers
159,160.0,Chicago’s Best Farmers Markets https://t.co/BYjXuVezZw https://t.co/MajWaMWmsv,Not Business,best,,consumers
160,161.0,Oak Park Farmer's Market Kicks Off 43rd Season https://t.co/lh3So20HJS https://t.co/N1IXrpzW8F,Business,kicks off,business (content),
161,162.0,"Fresh donuts made on site, fresh coffee and live bluegrass music performed by the Farmers' Market Band are part of what makes the #OakPark Farmers' Market so special. The Market's 43rd season kicks off May 19 and continues every Saturday through October. https://t.co/rMC0NhL447 https://t.co/ueLKOvVamS",Business,"donuts, coffee, live music, performed",business (content),
162,163.0,Farmers markets guide: Your complete Chicago and suburban listings https://t.co/5d79Pq1bRZ,Not Business,guide,,educators
163,164.0,"Farmer's Market

Please join us today, 3-7 PM, at the Farmers' Market! The Old Town Bloomingdale Farmers' Market, which operates every Thursday, 3 PM to 7 PM through September 20, in the Old... https://t.co/7pw2qT80ks",Business,"please join us, operates",business (content),
164,165.0,The nephew & I hanging out today.  Take care too. @ Logan Square Farmers Market https://t.co/PikUmtmZ7Z,Not Business,"nephew, haning out, take care",,
165,166.0,We'll be at the Downtown Elgin Farmers Market on Friday. We'll be reading another great book from @gailbrdnlibrary at 4 & 6. Stop by to grab one of the new Elgin Bike maps and bring your own learning to ride story! #BikeElgin #bikebooks #farmersmarket #downtownelgin https://t.co/XvXFBfEGzU,Not Business,"we'll be at, stop by, book, learning story",,educators
166,167.0,"The 61st Street #FarmersMarket moves back outdoors today! Head to 61st/Dorchester between 9am-2pm. Rain or shine, it’ll be fine. #Woodlawn #HydeParkChicago https://t.co/W6TpCCXcCk",Business,moves back! Head,business (content),
167,168.0,"It’s farmers market and fresh produce season❣️ Why not grow your own chemical free, nutrient dense, low maintenance, and very affordable better than organic produce… https://t.co/QHXyVpo0dF",Not Business,"chemical free, nutrient, organic, affordable",,promoters
168,169.0,Head to Historic Wagner Farm for Saturday's Farmer's Market — Opens at 8AM. #GlenviewIL  https://t.co/ggvjVA9Hv6 https://t.co/lQTaIZ4SvU,Business,"head to, opens at ",business (content),
169,170.0,We have our bag for Elgin Farmers Market this afternoon! #ExploreElgin https://t.co/zHmzo8VWnZ,Business,bag,business (content),
170,171.0,"Indoor Market today 9a till Noon and some special treats from The Market at Gaetano's too!

Batavia Farmers' Market https://t.co/xYO8NaIg5J",Business,today till noon,business (content),
171,172.0,at Old Capitol Farmers Market https://t.co/80coKb1dmH,Not Business,at,,consumers
172,173.0,"Here's tomorrow's opening day line-up for Edgebrook Farmers Market! Stacked with flavor. @localgoodschica #sausagekonig #chicagosausage #craftsausage @ Chicago, Illinois https://t.co/R38UOJ9Nfm",Business,opening ,business (content),
173,174.0,Met a gem at the farmers market this morning. She told me to cleanse from the inside out.,Not Business,,,
174,175.0,"Visit Socks & Souls today at the Old Town Bloomingdale Farmers' Market from 3:00 p.m. to 7:00 p.m as Socks and Souls will be a guest vendor this week! For every pair of socks sold, a pair… https://t.co/AFYdoZJI8N",Business,"visit, today",business (content),
175,176.0,"Have too much produce from your garden or want to save what you can from the farmers market?  Check out my latest blog to learn how to ""freeze summer.""  https://t.co/2F9ftC5sgT  #personalchef #urbangarden",Not Business,"check out, save",,promoters
176,177.0,"$SFM: Sprouts Farmers Market beats by $0.01, reports revs in-line; raises FY18 guidance https://t.co/z6GGhPfxOy",Not Business,"beats, $",,
177,178.0,Farmers market has record breaking turnout https://t.co/Qv5JsS7pey,Not Business,record breaking,,
178,179.0,"Check out the Farmer’s Market in the MTCC Bridge today till 1:00.
#FarmersMarket #IITDining https://t.co/cxEii5zdN4",Business,"check out, till",business (content),
179,180.0,"Due to illness, Chuck from Swingbelly Farms​ will not be able to join us for storytime next week at the La Grange Farmers Market​. BUT, we still have a great story planned for storytime! We hope Chuck feels better soon & hope to see you June 14 at 11am on the village hall lawn. https://t.co/ZBpRlaFBfz",Not Business,"join us, storytime, illness",,
180,181.0,Witness the power of food! Students at @ChiPubSchools @MitchellBobcats tasted tea for the first time and are now creating their own tea to sell at the farmers market. Learn more and donate to support food education for students here: https://t.co/ucdGsjJkCr https://t.co/OyooPibaz8,Not Business,"donate, support, students, learn",,educators
181,182.0,"Our community partner Illinois Stewardship Alliance is in need of volunteers to count attendance at the Old Capitol Farmers Market THIS Saturday! Shifts are available every Saturday until the market closes at the end of October. 

Sign up here:... https://t.co/Br3byRMptR",Not Business,"volunteers, attendance, sign up, community",,
182,183.0,"Picked up some veggies at the farmers market, gonna make noms with em and may or may not post how it goes ^^",Not Business,"picked up, vessgines, ^^",,consumers
183,184.0,"Between farmers market season, CSA boxes, and impulse shopping at grocery stores, it’s easy to wind up with a lot of fruit. So, make this fruit salsa.  https://t.co/mrmKgVUNWF",Not Business,"a lot of fruit, fruit salsa",,
184,185.0,GIPNA Farmers Market today! We are celebrating Murphy School and having some fun among the veggies 🌽. Join us at 11:00 for the family picnic too. @GIPNAorg @EcoActivista @CPSN1Deputy @dspuhr @RobertaSalas #parentinvolvement #caringcommunity https://t.co/KPtQyX15gB,Business,"celebrating, beggies, join us at, family picnic.",business (content),
185,186.0,up making coffee to give me the energy to go get coffee at Portage Park Farmers Market (last of year) &/or Cafe Urbano,Not Business,coffee,,
186,187.0,When you go for your morning run and stumble upon a farmers market! #atlanta… https://t.co/FE00Ed50sF,Not Business,"run, stumble upon",,
187,188.0,Taste all the colors of the rainbow with salad veggies from the Champaign Farmers Market tomorrow. 3:30-6:30 in the parking lot by Neil & Main in downtown #champaign Your local farmers will be there for you rain or shine! #FarmersMarketWeek https://t.co/4290wWaRpf,Business,your local farmers will there,business (content),
188,189.0,Tomorrow is your last chance to take our customer survey at the Farmers' Market! Come tell our volunteers what you want to see from us! The survey will still be available online through the month of July at:  https://t.co/VgspOQvXEh https://t.co/CVof2dNXA7,Not Business,"survey, volunteers",,educators
189,190.0,Today was fun. Found a little farmers market downtown w/ some of my favorite people. https://t.co/DPDt7Ry99u,Not Business,"fun, favirite people",,
190,191.0,Upcoming Event: Huntley Farmers Market - 8/25/2018  https://t.co/S5QzPgxKjH,Not Business,upcoming event,,
191,192.0,"summer no. 6 of greenhouse, farmstand, and farmers’ markets: a thread",Not Business,,,
192,193.0,"We’re honored to sponsor the @boonecohealth Annual Farmers Market and Wellness Fair! 🍏🍅🌽 Come enjoy a variety of fresh food and resources on 7/17 from 9am-3pm! For location details, please go here: https://t.co/ihjj1NzKoW",Not Business,"sponsor, a variety of fresh food",,
193,194.0,"Trinity Farmers Market open today till 1 p.m.

The corner of 95th and Normal.",Business,,business (content),
194,195.0,How much do we love our farmers market? Let us count the ways. https://t.co/YVZKBaYthP,Not Business,,,
195,196.0,"Farmers market? ""yes please!!"" https://t.co/0wnCSfUybU",Not Business,,,
196,197.0,"After the fridge taking a dump last week it’s a much needed nourishment recharge happening this weekend and upcoming week.  

It was such a wonderful visit to the Beloit Farmers Market this morning!  

Huge shout... https://t.co/VUz9SLPrkh",Not Business,"nourishment, wonderful visit",,consumers
197,198.0,Get to know the farmers and gardeners of the Aurora Area at markets & nurseries throughout the region https://t.co/BoJLU6ww3z https://t.co/7OvD5BCi6r,Not Business,get to know,,educators
198,199.0,Have some Farmers Market’s coming up? What if you could message every phone within 200 yards? https://t.co/AtbJMpsip8 #advertising #fairs #farmer #farmers #FarmersMarket #GO #localbusiness #market #marketing #organic #proximity #proximitymarketing #smallbusiness #localfood https://t.co/2IVOJEK3uR,Not Business,what if?,,promoters
199,200.0,Head to Historic Wagner Farm for Saturday's Farmer's Market — Opens at 8AM. #GlenviewIL  https://t.co/ggvjVA9Hv6 https://t.co/lQTaIZ4SvU,Business,"head to, opens at ",business (content),
200,201.0,We have our bag for Elgin Farmers Market this afternoon! #ExploreElgin https://t.co/zHmzo8VWnZ,Not Business,we have our bag for,,consumers
201,202.0,"Indoor Market today 9a till Noon and some special treats from The Market at Gaetano's too!

Batavia Farmers' Market https://t.co/xYO8NaIg5J",Business,"till noon, special treats",business (content),
202,203.0,at Old Capitol Farmers Market https://t.co/80coKb1dmH,Not Business,at,,consumers
203,204.0,"Here's tomorrow's opening day line-up for Edgebrook Farmers Market! Stacked with flavor. @localgoodschica #sausagekonig #chicagosausage #craftsausage @ Chicago, Illinois https://t.co/R38UOJ9Nfm",Business,here's opening day,business (content),
204,205.0,Met a gem at the farmers market this morning. She told me to cleanse from the inside out.,Not Business,,,
205,206.0,"Visit Socks & Souls today at the Old Town Bloomingdale Farmers' Market from 3:00 p.m. to 7:00 p.m as Socks and Souls will be a guest vendor this week! For every pair of socks sold, a pair… https://t.co/AFYdoZJI8N",Business,"visit, from to",business (content),
206,207.0,"Have too much produce from your garden or want to save what you can from the farmers market?  Check out my latest blog to learn how to ""freeze summer.""  https://t.co/2F9ftC5sgT  #personalchef #urbangarden",Not Business,"save, check out, learn",,promotors
207,208.0,"@ninaandtito Attack on the poor begins. After July 31st, SNAP/FOOD STAMPS can no longer be used at the farmer's markets...

https://t.co/SkupRSQ3ke",Not Business,"poor, STAMPS",,
208,209.0,"in addition: capitalism isn't inherently bad, it's just that people are selectively ignorant and will support shitty companies with bad policies. 

a farmers market is just as capitalist as a grocery store, the people running just actually give a shit about their customers.",Not Business,"capitalism, policies",Environment,
209,210.0,Oo bitch I wanna go to a farmers market,Not Business,,,
210,211.0,can someone accompany my lame ass to a farmers market sometime this summer bc i am a mom friend :-(,Not Business,,,
211,212.0,I almost had a warm breakfast. But oh you know working outside at a farmers market when it’s cold sucks the life out of everything.,Not Business,"cold, outside, life",,
212,213.0,"@WinkWestwood Shirts and hats from a gas station. Shoes from a fucking Farmers Market. 

The won't be dressing too different because they already can't dress as it is.",Not Business,,,
213,214.0,unfortunately i let a girl at the farmers market talk me into getting one of those vegan noodle salad things and i cannot take the texture of it,Not Business,"unfortunately, cannot take",,
214,215.0,Kiddo who rarely eats veggies requests a butternut squash at the Farmers Market. And what do I do to thank him? Accidentally wack him in the head with it as I put it in my bag. :(,Not Business,"kiddo, accidentaly",,
215,216.0,"I have dozens of stories of being demeaned by men working that job which involved operating a farmers market stall at locations in downtown Chicago, esp those wearing the dumbass stock market trading floor jersey jackets.",Not Business,"demeaned, dumbass",,
216,217.0,"Unfortunately, we are not going to be at the Evanston Farmers Market this Saturday (poor planning). However, we will be at the... https://t.co/dmBCIDtGw5",Not Business,,,
217,218.0,@TheAliceSmith I don't think these idiots appreciate the irony of spreading their nonsense at a farmers market,Not Business,nonsense,,
218,219.0,My other joke was about farmers markets,Not Business,,,
219,220.0,Is there a most obvious sign youre a basic? Wowwww you dont want me to see your pics from the farmers market???? You fuckin scandalous normie!!!!,Not Business,,Indirectly points to the fact that basic people go to farmers market but don’t want others to see,
220,221.0,there have now been 5 white women that walked in here to throw things away in our trash (despite the fact that there is a large trash can outside specifically for the farmers market) and none of them acknowledged any of us they just walked in and put their shit in our garbage,Not Business,"acknowledged, shit",,
221,222.0,"@BruceRauner When you were at the farmers market, Gov. Rauner, how many people did you lie to about the State of Illinois budget?",Not Business,,Indirectly talks about Environment,
222,223.0,So...my band is playing an acoustic 4 hour set Saturday morning at the Downers Grove Farmers Market...so if @DavidDobrik & co. stopped there before the podcast...that’d be cool.,Not Business,"band, acoustic, set",,
223,224.0,@alexwennerberg have you ever been to the farmers market? i was considering going today but if it's not fun I am not braving the heat,Not Business,fun,Heat - Convinience,
224,225.0,"Today was the first day for the farmers' market. I probably didn't need donuts, beef sticks, pork kabobs, AND Ethiopian, but whatever.",Not Business,"donuts, beef sticks, pork kabobs",,
225,226.0,@_alex_joshua @SenhorRaposa What do they farm in NJ?   Is it all like hobby farm & farmers market shit or are there legit farms?,Not Business,,,
226,227.0,"Just overheard my kid crashing his cars and was treated to this snippet of dialogue:

“Oh no, I crashed!  I crashed right into this farmers market!!!”

I seriously gotta check myself.",Not Business,,,
227,228.0,"@SHMeeplesCo 1. My daughters
2. Coffee
3. Grilling with a beer
4. Being in nature (camping)
5. Farmers Markets 
6. Museums 
7. Video Games (right now Zelda) 
8. Cat Toby and Dog Owen (I have a third dog but she’s annoying). 
9. Cooking
10. Chillin’ with wife & watching TV together.",Not Business,,,
228,229.0,These a.m. showers are ruining our Saturday tradition of walking to the local farmers market & to Robust for a cup of ☕️,Not Business,,,
229,230.0,@mariancall Same! I am spending a lot of time unlearning things. BTW - if you've never tried the wonders of the tomato sandwich (a Southern & African American specialty) you should give it a try if you have any garden or Farmers Market tomatoes.,Not Business,wonders,,
230,231.0,"P2:
Environmentally friendly energy (solar, wind, geothermal, hydroelectric)
More jobs across the board
Hobbies becoming careers
Farmers market

I am against:
Same things she is
Genetic modified food
Preserves 
Obesity 
Food disorders
Forced taxes and tariffs",Not Business,"jobs, careers",,
231,232.0,"Why do so many cities have ""Farmers Markets?""  Its not like farmers reciprocate with ""Urban Markets"" with a whole bunch of things made by city dwellers like crack and a bunch of stupid Etsy crap.  Trump should hit them with tariffs until unfair urban/rural trade imbalance fixed.",Not Business,"Trump, tariffs",,
232,233.0,"#Elmhurst Its gross that any kind of politics are allowed at the #farmersmarket
This should be a politics free zone .",Not Business,"zone, politics",,
233,234.0,"@jalaffler @Boulevard_Beer Like anything you buy, trust the retailer of the product. If you buy beef from a butcher at a farmers market, do you blame the cow? No you blame the butcher who sold it to you. Buy any product, from a source you trust, liquor store, wine shop, cheese shop, etc.",Not Business,,,
234,235.0,"@WoodlawnWonder Yeah I don’t see a competing farmers market as a threat. And the vendors choosing to leave speaks volumes. I get that a CBA is wanted, but I’m still not hearing a sound argument. I am certain there are aspect of this I’m missing, and I want to learn them.",Not Business,"competing, vendors, threat",,
235,236.0,went to white rock farmers market & a white guy told me his pottery studio was in oak cliff.  i asked him what party & he said “well not really oak cliff-clarendon & hampton”  now i’m confused as to where he think oak cliff ends 🤔,Not Business,,,
236,237.0,Farmers markets are my shit,Not Business,my shit,,
237,238.0,"Average modern liberal: TRUMP DIDN'T SIGN PARIS AGREEMENT & IS LOWERING STANDARDS ON ENVIRO-FRIENDLY CARS

Also average modern liberal: drives or Ubers everywhere, can't bother w/farmers' markets or growing own food, annoyed w/taxes on reusable bags, never brings own coffee cup",Not Business,,,
238,239.0,@FreyDrew They have frozen ones at our farmers market and they’re absolutely absurd.,Not Business,have,,
239,240.0,"tfw you drive your chrysler pacifica into the center of the local farmers market and still need a bag for your single cucumber and package of raspberries but can't be bothered to pick them up and save them, they are garbage and have been sentenced to The Vacuum https://t.co/X9rh7rPiaN",Not Business,"bothered, still need",,
240,241.0,i’ve been going to the farmers market every weekend for a couple months and my quality of life has drastically improved,Not Business,quality,,
241,242.0,WHO do i have to F*CK at this farmers market to get some frig*en napa cabbage?! 😤😡🤬,Not Business,"get, napa cabbage",,
242,243.0,"@bryanbinaxas @twymannnn @aniyarenee @FeelRiteMarkets Did you know that the program, SNAP, that allows people to use their benefits at farmers markets will no longer be able to do so after August? So even if poor people could make it to a market, they can no longer afford to shop there?",Not Business,benefits,,
243,244.0,"@theworstkirst @tictoc And if it isn't? Shop locally grown. I don't know of all the farmers markets/farms in McHenry County alone, but there's so many and yet Crystal Lake just got a new grocery stores that's not even bulk friendly. Unnecessary things like this",Not Business,"Unnecessary, so many stores",,
244,245.0,@sprucewolf @BenDoernberg @wmhilton @buritica @taylor_atx these places may exist but they're way harder to buy from? Like I live in a major metro area and have no idea where farmers markets are and don't feel like waking up at 7am on a Saturday to buy produce anyway.,Not Business,"waking up, don’t feel like",,
245,246.0,"I had an ideal day

1. Farmers market
2. Solo the point
3. Dinner party with fri3nd I haven't seen in so so long and also new c0ol people
4. I'm wasted he he what a good day",Not Business,,,
246,247.0,absolutely wired on coffee looking to fuck up the nearest farmers market,Not Business,,,
247,248.0,@Ballpit_Gangsta Next are the sage smudge sticks to burn in your home.   Great for cleansing bad energy or so I hear.  Actually they sell them at my local farmers market and I should try them.,Not Business,sell them,,
248,249.0,Going to the farmers market and watching the crappy vendors glare at the vendor with the long line and the good veggies is the highlight of my weekend.,Not Business,long lines,,
249,250.0,"No way, this dude just tried to sell me some artisanal small batch honey at the Farmers Market.",Not Business,sell,,
250,251.0,@Chase Please stop giving me $100 bills in the ATM. I am not going to communion parties in August and most farmers’ markets can’t break a hundo. #foreigncurrency,Not Business,can't break,,
251,252.0,"Camden Farmers Market on #Yelp: Update 10/2/18 
This place has gotten terrible with security. Almost every day ther… https://t.co/nXBNogsftK",Not Business,gotten terrible,,
252,253.0,Some markets in Illinois will no longer be able to allow people to buy their produce with LINK cards. https://t.co/HpJD5QqZYL,Not Business,,,
253,254.0,"Yall can pretend to hate black ideologies & shit if yall want. Pretend our group thought is toxic & all of that. Instead of shitting on a mf b/c u learned what being a vegan means, found your nearest farmers market & bought a ninja off Amazon, you should try & help solve shit.",Not Business,,,
254,255.0,i’m trying to pick out just one recipe to make with shit from the farmers market bc if i go in without a plan it will be the End of me,Not Business,,,
255,256.0,"First order of business today: 
Stopping at the farmers’ market in Daley Plaza to buy a pecan roll that’s as big as my face.",Not Business,pecan roll,Also quality,
256,257.0,Do you like Farmers’ Markets? Do you like to talk about  the local Real Estate Market? Stop by Coldwell Banker’s tent at Winnetka’s Farmers’ Market this Saturday at Village Hall on Green Bay Road from 7:30-10 AM and meet Broker Joan Conlisk!,Not Business,,,
257,258.0,i remember years ago when i graduated college i signed up nextdoor thinking i'd find out about a farmers market or some shit and i banned immediately for calling everyone on there cops,Not Business,,,
258,259.0,Hurting the poor and farmers with another questionable federal contract.  https://t.co/2wrWcmVG0V,Not Business,poor,,
259,260.0,my brother doesnt wanna go to the local farmers market what the fuck is wrong with him I WANNA BUY SOME FRESH VEG U ASSFACE,Not Business,,,
260,261.0,"I only buy locally sourced/grown weed from my local farmers market. I won’t touch bud if it’s not gluten free, dairy free, whole range marijuana cigarettes. Stop buying wholesale from shady spots and #ShopLocal",Not Business,"locally, sourced, gluten free, dairy free",,
261,262.0,@MatchboxGinny Nooooooooooo shut upppppp but also yes there is a farmers market and I’ll probabiy go get some pastries,Not Business,,,
262,263.0,"@waltshaub Attack on the poor begins. After July 31st, SNAP/FOOD STAMPS can no longer be used at the farmer's markets...

https://t.co/SkupRSQ3ke",Not Business,,,
263,264.0,Went to the farmers market once and now I’m ready to be obnoxious about it for the next 6 months,Not Business,,,
264,265.0,"Since law prof summers continue to be of interest: today I went to the gym & the farmers’ market. I bought berries from Michigan. Pretty good. After that, I went to Starbucks. The barista seemed agitated. “Was he thinking about Brett Kavanaugh,” I wondered?  I regret not asking. https://t.co/rIQdoAs1kM",Not Business,,,
265,266.0,Marijuana ‘Farmers Markets’ Won’t Happen In California Yet After Bill’s Failure - https://t.co/Mr0zS4lmZ0,Not Business,Marijuana,,
266,267.0,"Lol, we can say names, too. Bob, Lenny, Sue, Pam. Heres one for you, Brandon Styza. Tell your boy to pack up his goat cheese kiosk at the farmers market and bounce cuz business aint gonna be looking too good. Fucking farmers markets? Really? 🙄",Not Business,business,,
267,268.0,"Just sat bolt upright in bed and whispered “Farmers market!” to no one. It’s summertime, queers.",Not Business,,,
268,269.0,just went to the farmers market because I’m a HUGE fan of frustrating crowd behavior,Not Business,"crowd, frustrating",,
269,270.0,Also at today’s farmers market I overheard this remark from a vendor complaining about this week’s LSD protest: “I just don’t get it. What does protesting accomplish? Protesting has never accomplished anything!” 🤦🏻‍♂️,Not Business,,,
270,271.0,not every neighborhood without a gate around it & a farmers market every weekend & shit is the hood lmao ur ugly as hell if u think like that,Not Business,neighborhood,,
271,272.0,@thistallawkgirl No one had spicy peppers at the farmers market. How am I supposed to burn out my colon now?!,Not Business,"spicy peppers, had",,
272,273.0,Progressives hate Capitalism and love Socialism but they love farmers markets (capitali$m) and hate WalMart (what Socialism ends up looking like).,Not Business,"capitalism, socialism",,
273,274.0,"Venmo, cash app, apple pay etc are about to become the main source of payment in a couple years. Imagine how many companies or businesses could profit off this right now. Hell even farmers markets or a garage sale",Not Business,,,
274,275.0,thank you past me for being terrible at putting stuff away. definitely forgot I bought strawberries at the farmers market yesterday and now they are at work with me https://t.co/E2u40h0WxV,Not Business,,,
275,276.0,"Just to show I walk the walk, here’s my haul from the farmers market this morning.  I was shopping hungry after my long run but my meals will be tasty this week!  Some of the berries didn’t make it home.  My cat is not impressed. https://t.co/tVAkVTqr2K",Not Business,,,
276,277.0,"@jbillinson Nothing in a can is better than fresh.  Avoid the aisles.  If it doesn’t rot in a can or a box, those chemicals rot you.  #FarmersMarket #BuyLocal",Not Business,"BuyLocal, rot",,
277,278.0,If you don’t like farmers markets you can gtfo my life,Not Business,,,
278,279.0,"I got dis cute little affogato and den I spilled it cause I'm terrible. 😂 @ Original Farmers Market, Los Angeles https://t.co/77HnUQ5Rqw",Not Business,,,
279,280.0,Watching the Guess Farmers Market video only makes me more sad that I wasn’t 😢,Not Business,,,
280,281.0,"Run out of salad at the farmers market, fuck this. #thinkhomewood",Not Business,run out,,
281,282.0,"@eveewing When @iamranaahmad and I were leaving Paris, an airport security dude took out our just-purchased--as-gifts-at-the-French-farmers-market jams, looked us dead in the eye, held the jars above a trash can before declaring ""IN ZE GAAARBEJ!"" It's been a year, im still pissed.",Not Business,,,
282,283.0,@deviousjen I was anticipating waiting room hell and it was only half an hour. Still went over to the farmers market and now I have a crepe,Not Business,,,
283,284.0,Village Offices are closed and garbage pickup will be delayed by one day. The Farmers’ Market will return July 11th. Happy Independence Day! https://t.co/59ricm8XOz,Not Business,,,
284,285.0,the downtown farmers market sux,Not Business,sux,,
285,286.0,@james_p_simpson So you're arguing that the genetic modification that donna from that 70s show is avoiding by going to a farmers market has been around for hundreds of years?,Not Business,genetic modification,,
286,287.0,"Went to farmers market, deep cleaned my house, did the laundry, took a bath and did a face mask, lit a candle and am in bed by 9:30. When the fuck did I get so old.",Not Business,,,
287,288.0,bought an apple pie at the farmers market even though i hate pie just for the sake of f a l l 🍂,Not Business,apple pie,,
288,289.0,they aint got no plants at the farmers market only cut flowers smh im Pissed,Not Business,"aint got, only cut flowers",,
289,290.0,"i'm very lonely in dekalb but still much happier than i was in chicago. tomorrow i'm going to the farmers market, i've started doing yoga, i've finally made a dent in the World's Largest Laundry Pile, i keep up with my housework, like wow depression? i don't know her",Not Business,,,
290,291.0,"@johnpavlovitz Attack on the poor begins. After July 31st, SNAP/Food stamps can no longer be used at the farmer's markets...

https://t.co/SkupRSQ3ke",Not Business,poor,,
291,292.0,I bought some cookies from these Amish motherfuckers at the farmers market. They’re shit. I’ll never buy another Amish baked good in my life.,Not Business,"never buy, shit",,
292,293.0,"@realDonaldTrump The only time farmers markets are closed is when a idiotic narcissist such as yourself, inserts his fat, low IQ ass in the middle of it. 6 bankruptcies, affairs while married, great embarrassing job Bonespur! Corn farmers get 1 cent/bushel, that is a SAD job 🤬",Not Business,closed,,
293,294.0,@kofchicago I was so sad there were no farmers markets last weekend but I’m really looking forward to independence park’s!,Not Business,,,
294,295.0,i just found grain free granola at the farmers market don’t even talk to me when i’m back on my gluten free shit baby,Not Business,"gluten free, grain free",,
295,296.0,Nothing gets my dick hard like shopping at a farmers market,Not Business,,,
296,297.0,Shitty weather on farmers market days should be illegal,Not Business,"shitty, weather",,
297,298.0,"I'm at Fresh Thyme Farmers Market Downers Grove - @freshthymefm in Downers Grove, IL https://t.co/hAbreex14q",Not Business,,,
298,299.0,"Important piece of wisdom (don't know why I've waited so long to share): Unless you have access to very high quality buttermilk from a farmers market, you should be substituting plain kefir (1 for 1) in all recipes calling for buttermilk.",Not Business,quality,,
299,300.0,@gomer1 @gomer2 Finished Madison Mini Marathon and at farmers market. My wife wants me to stop talking about the cheese bread. All your fault 😂,Not Business,,,
300,301.0,Community Food Waste Programs Make Good Fit for Farmers’ Markets https://t.co/V2LVJT2q7r,Not Business,"good, fit",,
301,302.0,"Ok, so your like wtf? Then. Sure go to a farmers market... Its so over priced its comical",Not Business,overpriced,,
302,303.0,@PGdadTV @Eagles @phillydotcom @CBSPhilly @PhillyMayor @PhillyDailyNews @PhillyInquirer I think the real crime here is the one committed by Amber. She is smothering a minority with her whiteness. Have you ever seen a Latino at a Amish farmers market? She's replacing his vibrant minority diversity with her bland white homogeneity.  Shame on you :(,Not Business,,racist politics,
303,304.0,"Oh, what have I done today? Fucked around and woke up from a deep slumber. Tried to hit up a renaissance fair but accidentally went to a farmers market. Then I went back to bed. Then I fucked around and laid in bed for a while. Now I’m going to fuck around and go to bed",Not Business,,,
304,305.0,Now is our time to put our money where our values are. Go to your local farmers markets and then go see where your food comes from from each of these farmers. Sadly some farmers are not of the integrity level that we assume if they have organic signs. Absolutely eat local!!,Not Business,local,,
305,306.0,Working the farmers market for over 10 years I get my fair share of interesting questions. Today I had a lady ask me if we had oranges. I looked at her and told her oranges cannot be grown in Illinois. She was not happy with my response.,Not Business,"had, oranges",,
306,307.0,tried oat milk for the first time today at my neighborhood’s farmers market coffee bar and FUCK i see the hype,Not Business,hype,,
307,308.0,Unfortunately the weather has decided to be wet.....so we will not be attending the Jefferson St.  Farmers Market today. Sorry folks.,Not Business,"weather, wet",,
308,309.0,"hearts to the the people doing Gods work at The Plant farmers market in Chicago, directing people on how to throw away trash/compost/recycling. https://t.co/8c8QwK8jeg",Not Business,at,,
309,310.0,"@seanhannity It's chronic in socialism. Russia 70' and 80' had no meat any kind in food stores, only on farmers markets and not everywhere

Crimea had terrible water supplies, pple couldn't take regular shower. Now it's even worse

Toilet paper was a luxury, very rare item  to find in stores",Not Business,,,
310,311.0,"Killing it with the topical references.  

Also if you invited Gallagher to a farmers market he'd just do a loose hour calling everyone there commies and queer. https://t.co/cK5Vd11tI4",Not Business,,,
311,312.0,i just accidentally spent $9 on peppers at the farmers market smh,Not Business,,,
