,No.,Tweet,Label,Words,Notes,Contributor
407,408.0,Peg Hoover Photography graces Farmers Market - Kokomo Perspective https://t.co/9CuvzTwd08,environment,photography,,
408,409.0,Perhaps the village could have told the construction company this street is used for Farmers Market parking on Saturdays? https://t.co/i4s3JPyKCu,convenience,parking,,
412,413.0,We had a great time at the farmers market. Storytime and the Friends of the Library book sale were a hit. @lgfarmersmarket @LaGrangeBiz https://t.co/yY5FBp9oyj,environment,"great, time, hit, sale",,
413,414.0,Fun at the Farmers Market! https://t.co/LF2H0Q3JJj,environment,fun,,
415,416.0,I have to wait two days for the farmers market and I don’t have potatoes and I’m running out of fruit. 😬😅😭,convenience,wait,,
420,421.0,"SNAP Pop Up Farmers Market in Midtown Neighborhood, Rockford on Tuesday.  Will accept LINK and cash. #SNAP@farmersmarket #farmersmarketweek https://t.co/BVgkNiUvCt",economics,cash,,
421,422.0,"Noticing more millennials at farmers markets, this Elkville farmer wrote an intro to veggies https://t.co/svT1yYNjdY",environment,millenials,,
424,425.0,Tens of Thousands of People Are About to Lose the Ability to Buy Fresh Food at Farmers Markets https://t.co/varsYYU7Mx via @ModFarm,economics,lose,,
425,426.0,Farmers Markets are back in Chicago. Photos of the good stuff in Hyde Park.,quality,good,,
429,430.0,Today’s farmers market find ✨🌿 @ Evanston… https://t.co/hk2JWPpLJR,environment,find,,
433,434.0,#HealthTip: Frequent your local farmers market to get healthier fruits and veggies. https://t.co/SvlMt2vQxK https://t.co/1Va2I6H83g,quality,healthier,,
437,438.0,"Going to be an awesome event with @TheFrenchChef and more @  Logan Square #farmersmarket on May 20th, 2018   https://t.co/mciiHp7sAv https://t.co/1Co4eBDRcg",environment,"awesome, event",,
439,440.0,That’s #Twain restaurant Chef Tim Graham making some hand churned raspberry #icecream at @GreenCityMarket! #samples #saturday #farmersmarket #lincolnpark https://t.co/DpbCPLcJrr,quality,hand churned,,
440,441.0,"What a Beautiful Day!  Don't stay inside.  Join us at The Boulevard Farmers Market today.  Many vendors with natural healthy food to stock your kitchen.  Sunday, June 3rd from 10 a.m. to 2 p.m.  Check out the details:  https://t.co/yxepx8EEHw  #BoulevardFM https://t.co/h4rrbTknyI",quality,"natural, healthy",,
445,446.0,"What did you miss this weekend? Our Chamber Orchestra, Choraliers, and Jazz Band performed on a gorgeous sunny day at the Deerfield Farmers Market! #DHSWarriorPride https://t.co/6tesF2VJ1F",environment,"Jazz, Band, Orchestra, Choraliers, performed, gorgeous, sunny",,
451,452.0,*walks through farmers market at local park* wow this is just like a Stardew Valley festival,environment,"festival, wow, walked",,
455,456.0,THIS Sunday Apr 29 is the last INDOOR #farmersmarket before we take the party outside for the season! check out @JeffParkMarket for more details. meanwhile tell us what flavors you'd like us to bring?! https://t.co/xdvmGQYFeN,environment,"indoor, outside",,
456,457.0,Come out and see Nathan Taylor playing music during this weeks Farmers Market😃,environment,"playing, music",,
459,460.0,TFW you learn that your school's urban garden is open for harvest and there's a bag with your name on on it! #urbanagriculture #thecreativeimpostor #farmersmarket #chicagopublicschools… https://t.co/MSnMxSRsDC,convenience,,,
465,466.0,"Harvest season is in full swing at the #OakPark Farmers' Market. Plums, nectarines, peaches, pears, grapes, apples and cider are just some of the seasonal favorites now available. This week the Market will feature an activity for kids. More info is at https://t.co/rMC0NhL447. https://t.co/reLwzUedXi",environment,"activity, favorites, kids",,
467,468.0,remember when there was a nazi handin out pamplets at the logan square farmers market and i was in the background of the pic https://t.co/bhX4kq4QuV,environment,"nazi, background",,
469,470.0,Today we cut the ribbon the the annual Hyde Park Farmers Market. The farmers market will take place every Thursday from 7am-1pm. Support our local farmers and enjoy the unique fresh products the market has to offer! #4thwardstrong https://t.co/g7QGFEY1nr,quality,"unique, fresh",,
473,474.0,@bryanbinaxas The farmers market near my house charges 6 dollars for a pint of strawberries. What's pictured would easily run 30 dollars,economics,"dollars, charges",,
478,479.0,"Pretty As A Peach! Want to use those great farmers market peaches?

2 oz vodka
1oz Amaro Cinpatrazzo 
1/2 oz Peche Liqueur 
1/2 peach - peeled and blended
3oz lime/mint/elderflower… https://t.co/0gLqCRgZxc",quality,"pretty,, great",,
479,480.0,"Prolonged cold may affect crops, farmer’s markets in Rock River Valley https://t.co/NrsbfzybJQ",quality,affect,,
480,481.0,Nonprofit offers temporary fix for SNAP shutdown at farmers markets https://t.co/eFSMcv2pD8,economics,Nonprofit,,
491,492.0,Hanging out at the #farmersmarket at Daley Plaza for @StJamesChicago  Summer In The City camp 🌻  #iamstjames #volunteers https://t.co/j3lZ8TNBSW,environment,hanging out,,
493,494.0,"Friday afternoon Cruise In Saturday morning Farmers Market 
Is it the weekend yet....?
#weekend #activities #enjoy #familyfun",environment,"fun, activities, enjoy, weekend",,
494,495.0,"Book reading at the farmers market 
@idisposable11 
#bookmobile #kindergarten #aurorapubliclibrary @ Aurora Farmers Market https://t.co/PpxFFfX5Vc",environment,Book reading,,
495,496.0,@schefferwill Lettuce sold out from our hydro and aquaponic  growers at the local farmers market Saturday. We are a producers market. No re-selling allowed.,quality,"growers, producers market",availability,
496,497.0,Shop at your local farmers market to to be #healthy with fresher veggies - https://t.co/rSo4RFqyX6 https://t.co/YS3Z5yc12r,quality,"healthy, fresher",,
500,501.0,A little rain won’t stop me from hitting up the farmers market #rarephoto https://t.co/ExpHv82Q7D,convenience,rain,environment,
501,502.0,Park Ridge aldermen hear proposal for alcohol 'sampling' at Farmers Market https://t.co/D5VqaWh10e,environment,sampling,,
504,505.0,"Open every Saturday now through October 27, the Aurora Farmers Market is a fun destination in Illinois for a peaceful time! https://t.co/C6qfcZpxbz",environment,"fun, peaceful",,
509,510.0,"Check out the top events for the week in the McKinley Park neighborhood!
https://t.co/wxzHtPRAv2",environment,events,,
512,513.0,Choose your local farmers market to enjoy richer and more nutritious produce - https://t.co/YeKDgrXHCW https://t.co/1Ticw1Zm86,quality,"richer, nutritious",,
515,516.0,"@lorcanD Yes, whole wheat sourdough from farmers market, which warrants real butter.",quality,real,availability,
522,523.0,"Jeremy and I woke up at 7 am and went to the Urbana Farmers Market. Who even are we?? 😂
Tomatos for days!! 
#urbanafarmersmarket #urbana #illini #tomatoes #freshproduce #peachestoo… https://t.co/zcfdoqDN4U",availability,tomatos,,
524,525.0,"Great haul at the farmers market today. Plus, elotes and tamale. https://t.co/PVwMfmuzWD",availability,"elotes, tamale",,
529,530.0,"These are in total, all the things that are at a farmers market: vegetables, fruit, honey, flowers, and maybe if you’re lucky someone will be like selling some lotion",availability,"all, at, vegetables, fruits, selling",,
530,531.0,"@StudMuffinSays @Starrcast18 Hey, I live in the Midwest! All our #Wrestling takes place in barns and farmers markets!",environment,"in, wrestling",,
535,536.0,Have some Farmers Market’s coming up? What if you could message every phone within 200 yards? https://t.co/AtbJMpaH0y #advertising #fairs #farmer #farmers #farmersmarkets #localbusiness #market #marketing #organic #proximity #proximitymarketing #specials #store #localfood https://t.co/v2mQPvGqHb,convenience,proximity,,
536,537.0,"@lexintheA I look at every single store in Chicago. Chain grocery stores, independent grocers, farmers market... it’s like they don’t exist here. I honestly didn’t think we had them anywhere up north till I saw them this weekend in northern MI! 😭",availability,have,,
537,538.0,5 events in @ourwickerpark Sunday @mrdavemusic @wickerparksings #farmersmarket @HawkeyChiTown @WickerParkComm @peacelovegoat @ward32chicago @Alderman_Moreno @WPBCC @WeAreWPB @ChicagoParks @MayorEmanuel @The606Chicago @TheRobeyGH @ChicagoCAPS14 https://t.co/qaw8I7KKu2 https://t.co/OR8x2d4mBJ,environment,events,,
538,539.0,"It’s no surprise that private well owners, in general, are hard to reach. This is because they can come from every social, economic, and educational demographic. https://t.co/ZWwsyCWqOK

Alyson McCann at @URIWater shares how she reaches well owners with her private well program.",convenience,reach,,
539,540.0,Heading to the farmers market where I know I’ll get some sort of baked good so I put a fork in my purse. I am Joey.,availability,get some,,
541,542.0,"Presto Pesto has THE best Gluten Free options around! Stop by the Farmers Markets this weekend and let us let you taste the Gluten Free Goodness!!
Saturday: Venice Farmers Market at Avenue Des... https://t.co/cHK3LoRQ19",quality,Gluten Free,,
545,546.0,Legal Fight Continues for Farmer Banned from Market Over Objecting to Gay Weddings at His Orchard  https://t.co/voQj4uibpV,politics,gay,,
547,548.0,"One of the events that makes summer and fall in Oak Park so delightful is the Oak Park Farmers' Market. Come stock up on fresh local veggies, cheeses, honey, and more. https://t.co/h30nSwmQOx",quality,"fresh, local",,
550,551.0,I only miss Woodstock for the farmers market and $5 sunflower bouquets🌻🌞,economics,$,,
561,562.0,Outdoor #yoga w/Dr.A* 🕉 On Saturdays at 11:30am - Join us!! Sun Salutation🌞 xoxo — at 61st Street Farmers Market https://t.co/ZwSPAHyPn5,environment,"outdoor, yoga",,
562,563.0,"Street Food views from @tasteofthephilippines! Catch us devouring Lumpia’s from the #LumpiaLady today. 🙌 #LikeFoodChicago
📸: @likefoodchicago
📍: @tasteofthephilippines
🌁: Daley Plaza Farmers Market https://t.co/ACB9nSBjCh https://t.co/FiQISo9scO",environment,"views, street food",,
563,564.0,"Why you should support your local farmers market #1:
Farmers markets grant you the opportunity to get a taste of REAL FLAVOR. Fruits are allowed to become fully ripe, and are brought straight from the field to the you. You're always guaranteed to get the best there is to offer! https://t.co/5j2SMzApBS",quality,"REAL, ripe",,
564,565.0,"Enjoy fresh fruit, vegetables, and flowers at the weekly Farmers Market this Saturday, October 6 from 7:30 a.m. – 12:30 p.m. Listen to live music by Tim McCarthy while you shop! #TinleyLifeAmplified https://t.co/u9f5xvVl4t",quality,fresh,,
566,567.0,Join us Saturday for what should be a beautiful Fall day at the Downtown Bloomington Farmers' Market. Check out our newsletter to find out what is doing on at the Market. https://t.co/xYBogFmUSv https://t.co/xYBogFmUSv,environment,"beautiful, fall",,
567,568.0,"Learn more about Ed Clark Music Services's upcoming shows.

Illinois Products Farmers' Market 5-7
June 7
July 26
Aug. 30 
Oct. 11
 
Robbie’s 
Ed Clark Trio 
June 8, 5:30-7:30

https://t.co/yYcuuxcuxb
@EdClarkPiano https://t.co/9hqlObacM3",environment,"music, shows",,
570,571.0,Upcoming Event: Huntley Farmers Market - 7/28/2018  https://t.co/1bTFV38KOT,environment,event,,
572,573.0,Choose your local #FarmersMarket to boost your local economy - https://t.co/Hd6QDElfMY https://t.co/mRFcpPPk2O,economics,economy,,
573,574.0,"HOW PROXIMITY MARKETING CAN HELP YOUR BUSINESS AT FARMERS MARKETS, CRAFT FAIRS AND FESTIVALS #askdrmemo #mobilemarketing #craftfair @drmemogamboa https://t.co/GQmbCGBaKi",convenience,proximity,,
580,581.0,"Looking for something to do this weekend? Take your family to a local farmers market and meet the folks growing your produce:

https://t.co/L193lqvvji https://t.co/xB28DQZslY",environment,meet,,
583,584.0,FYI! The @UChicagoMed Farm Fresh Friday Farmers Market will be in Goldblatt Pavilion Lobby today (850 E 59th St.) from 10:00 AM - 2:00 PM. #farmfreshfridays #farmersmarket https://t.co/Suc9J81kKT,environment,,,
585,586.0,"Thanks to @ILStewards: ""As farmers markets open for the season across Illinois, vendors will find it easier to do business thanks to recent changes for cottage food  and related laws."" via @AgNews https://t.co/5IlkHGb15v",economics,business,,
586,587.0,#FitnessTip: Take advantage of your local #FarmersMarket to get healthier fruits and veggies. https://t.co/HZc4q5vbOP https://t.co/crlJHXtE9J,quality,healthier,,
587,588.0,Bobby marketstall is handing out surplus bushels. Grab one now! https://t.co/f7ixTLrcci,availability,surplus,,
590,591.0,"This week's lineup!

Today/Wednesday 3-7 pm Farmers Market at St. John's - Naperville, Illinois

Thursday 3-7 pm #95thStreetFarmersMarket @ Naperville Public Library's 95th Street Branch

Friday 6-10 pm Eric In The... https://t.co/7exhhfCz9Z",environment,lineup,,
591,592.0,"It’s National Farmers Market Week! Put your money where your market is and pick up the cream of the crop in Alton, Jerseyville, Wood River and Brighton.
•
•
•
•
•
•
#VisitAlton #ExploreGreatRivers #NationalFarmersMarketWeek #FarmersMarkets #FarmersMarket #EnjoyIllinois #… https://t.co/Wpg4TggzgA",quality,cream of crop,,
594,595.0,"Tamales Express, a Riverside Farmers Market vendor is hiring for market season. Anyone want to make some extra cash? https://t.co/NabK5GJZDu",economics,"hiring, cash",,
596,597.0,"Fun for all ages is planned at the #OakPark Farmers' Market this Saturday. @chicagobotanic will be on hand to host an activity for kids, and a chef from @AutreMondeCafe is slated to host a cooking demonstration from 9-11 am. Find complete Market details at https://t.co/pEEz7l023M https://t.co/7M6R5QrJ3y",environment,fun,,
597,598.0,Fall Fun at the Skokie Farmers’ Market https://t.co/dgs1QzH0kU,environment,fun,,
600,601.0,#preppersproduce #preppingainteasy #gardening #vegetarian #vegan #farmersmarket #urbanfarming hidden fruits @ Preppers Produce https://t.co/SNzmneicGD,availability,hidden fruits,,
601,602.0,SNAP shoppers can get up to $40 extra to spend on fresh produce this week at the Champaign Farmers Market! We’re open Tuesday from 3:30-6:30 in the parking lot by Neil & Main in Downtown Champaign. Let’s make this a great October for our local farmers! https://t.co/gJM6rb04OY https://t.co/ycCu2grYYG,economics,"SNAP, $",,
620,621.0,How you know it’s summer in Chicago. The @avillechamber Farmers Market in full bloom. https://t.co/nqxLXcZoOv,environment,bloom,,
622,623.0,"Mainstays Farmers Market  Caledon Bowls w/ Lids

Just $4.99! https://t.co/BZpe2aAuQa

(Reg. $15.97 - Lowest Price!) https://t.co/wepUqIjDrT",economics,$,,
624,625.0,"12Aug18:  My first Illinois farmers market.  Now I’ve heard about a hill of beans, but a pile? 😜. Most of the fruits and veggies were okay, but some were damaged, and I’m very picky about… https://t.co/SGGJ5579EI",quality,"okay, damaged",,
630,631.0,Looking forward to seeing my farmers market family today as we have the last indoor market this spring. Woodstock Farmers Market,environment,indoor,,
642,643.0,Dropping money at the farmers market as if my eating habits might radically change over the next week like tf am I gonna do w 3 zucchini’s lbs,availability,zucchini,,
649,650.0,"RT edchoice """"'How much do farmers markets cost Walmart?' It’s a ridiculous question."" Find out what this means to the conversation around #publiced and #schoolchoice via https://t.co/UOcMGNOhbg""",economics,cost,,
656,657.0,"Starting fumbling with this thing between sets at the #farmersmarket yesterday. Random #words again to find a #melody for now. Kinda liking it. Also, listen to @telethonband cuz they… https://t.co/Xn52CvFvuH",environment,"sets, melody",,
661,662.0,Testing out our new canopy for the farmers market!  #GordonHeat https://t.co/V0jNeJo8NX,environment,canopy,,
664,665.0,Tens of Thousands of People Are About to Lose the Ability to Buy Fresh Food at Farmers Markets https://t.co/0eYEyoHSSh via @ModFarm,economics,"buy, ability",,
672,673.0,"""As area farmers markets begin to open for the season, bringing fresh produce to many south suburban locations, a harsh reality blights the popular mantra that, when it comes to good nutrition, nothing beats freshly picked fruits and vegetables."" https://t.co/paU8YZqEtu",quality,"freshly, nutrition",,
675,676.0,a little rain wasn’t going to deter me from getting an apple tarte from the sweet french nuns from st. roger’s abbey 💁🏽‍♀️🇫🇷🍎 @ Independence Park Farmers Market Chicago https://t.co/y3oZqqlNuB,quality,sweet,,
679,680.0,Did the farmers market choose the hammer dulcimer  or did the hammer dulcimer choose the farmers market?,environment,"hammer, dulcimer",,
689,690.0,Good night 💤 Annie 💫 @txstarkeeper hope you sell everything at your Farmers Market🍐🧀 https://t.co/7teSXbPcpL,availability,"sell, everything",,
693,694.0,I bought my yogamat for .002 bitcoin at the farmers market.,economics,bitcoin,,
700,701.0,"@SeattleEine @wisebread I've negotiated at flea markets before, but didn't know you can do that at farmers markets, thanks for the tip! #WBChat",economics,negotiated,,
705,706.0,Some food stamp recipients may soon lose access to farmers market benefits https://t.co/gGfNJEspjG,economics,"lose, benefits, stamps",,
712,713.0,#HealthTip: Visit your local #FarmersMarket to to be #healthy with fresher veggies. https://t.co/IiAI1BMdG7 https://t.co/BEA9eYAEHb,quality,"health, fresher",,
721,722.0,"Back in the Bay, cherries from the farmers market, Anchor steam and a clam chowder (not pictured)...what more do you need?.....a placement! https://t.co/CWF4pSpOqk",availability,cherries,,
722,723.0,"Farmers’ Market farmers know how to treat their animals. At the market, you’ll find meats, eggs, and cheeses that come from animals who have grazed on green grass and eaten natural diets. Animals who are free of... https://t.co/0Wwg7g7kfb",availability,"animals, meats, eggs, cheeses",,
731,732.0,"Sometimes less is more, like with these sweet potatoes for theme 6 of the food photography challenge for @TLPlantation | I found these guys at the Andersonville farmers market and was… https://t.co/2fwniBXZL5",availability,sweet potatoes,,
735,736.0,"Read Wicker Park Farmers Market: Vendors, Transit, Parking https://t.co/unizgcxOLF #albanypark",convenience,"transit, parking",,
738,739.0,Today's CSA box came with the deliciously rare 'U'cumber. #CSA #FarmersMarket https://t.co/FQ6PZJKlVK,availability,"deliciously, cumber",,
740,741.0,I went to my first farmers market today and this is 100% true. So many good doggos today https://t.co/L82t183Shr,quality,true. ,,
745,746.0,"@dblOneg @larry_earle @SenSanders Well, lucky you. Our farmers market is more expensive than the grocery store.",economics,more expensive,,
746,747.0,"I made farmers market brunch: German butterball potato pancakes, fried okra and frizzled eggs (browned butter & crispy sage) https://t.co/gULswCCQP0",availability,"potato, okra",,
758,759.0,Daley Plaza Farmers Market on #Yelp: Someof my fresh produce finds at the market https://t.co/5IlJftD8ty,quality,fresh produce,,
761,762.0,@DoRiteDonuts @jesshimes - Good news! You can pre-order your @DoRiteDonuts. You don’t have to stalk the farmers markets for pop-up stands during work hours anymore.,convenience,pre-order,,promotors
763,764.0,@YokidsitsMaggie 12. Farmers markets are the source of all good and wholesome content in this world,quality,"source, good, wholesome",,
767,768.0,Farmers Markets Growing In Illinois https://t.co/ucAAzlu42W,availability,growing,,
769,770.0,It’s going to be a beautiful weekend. Stop by the Horner Park Farmers Market today and Glenwood Sunday Market tomorrow. Cherry hand pies and tomato pies are back as well as some new items. Next week plums and peaches make their seasonal debut!,availability,"stop by, cherry, tomato, plums, peaches",business,
770,771.0,"Tomorrow at The Hyde Park Farmers Market, celebrity chef Shirley J. Newsome will be serving up her famous grilled corn! You don't want to miss this! #GetFreshThurs https://t.co/IfoCrMVDa7",availability,corn,business,
777,778.0,lady @ sturgeon bay farmers market lit tried steal the bok choy I had in my hand.,availability,bok choy,,
780,781.0,"Our Farmers Market is open! Join us Monday evenings through October 15 for fresh, local, sustainable goods. More details can be found here: https://t.co/VSWPE2UZWV https://t.co/wRCnOMaTLT",quality,"open, through, fresh local, sustainable",business,
784,785.0,Picked up some strawberries and asparagus at the Old Capital Farmers Market with Stella this morning. https://t.co/idA355jkU5,availability,"strawberries, asparagus",,
793,794.0,FARMERS MARKET: Naperville has three different farmers markets to choose from for those looking for fresh food and good fun. Here's the story: https://t.co/5GXr7vjScj,convenience,"three different, choose, looking for, fresh",,
794,795.0,"If you are a summer soup lover, this farmers' market Corn and Potato Soup is for you! https://t.co/TebdOYOZJy",availability,"corn, potato",,
796,797.0,"The #WickerPark #FarmersMarket: Where tomatoes, peaches and petitions are in season. 
(The signature collectors I spotted were there for @RahmEmanuel). TIP: To be valid, #Chicago residents can only sign the petitions of ONE of the dozen candidates running for mayor. Just one! https://t.co/6zkauys8cA",politics,"tomatoes, peaches, petitions, candidates ,mayor",,
798,799.0,If you are going to the Farmers Market please remember to park legally. See attached link for parking info. #evanstonfarmersmarket   https://t.co/Q1fvpVtMHj,convenience,park,,
802,803.0,Just spent $3 on a banana at the farmers market at LAX AMA,availability,banana spend $,,
818,819.0,"To ensure our guests have the freshest produce, we partner with local #Chicagoland farms and farmers markets to source our vegetables. Where's your favorite farmers market? 

#hearthrestaurant #evanston #healthyliving https://t.co/Lx8qv7eREh",quality,"source, freshest produce, begetables",,
822,823.0,@Schwarzenegger How do u cut fish @JapanGov looking for nerves @PutinRF_Eng more clearly veins @HUDgov cook look white @DocYilk food borne illness. Farmers markets systems. Look off film buyers & sellers. Toxicology due because them junkies real junkies trafficking addicts addictions practices©,safety,"food borne illness, toxicology, practices",,
823,824.0,"Find fresh produce, local goods and more at a farmers market! There's one happening every day across the city & suburbs: https://t.co/IBcS1UcdQk #Chicago #ChicagoBestBets https://t.co/rESHTVRotW",quality,"fresh produce, local goods",business,
824,825.0,"During the summer, raspberries and other plump berries are at their peak of sweetness. On July 31st, pick some fresh raspberries at the farmers market, and help celebrate National Raspberry Cake Day. 
https://t.co/SCMG9I78u1
#RecipeSavants #NationalRaspberryCakeDay #Desserts https://t.co/zn92JNshPl",quality,"raspberries, plump berries, sweetness,",business,
828,829.0,"@Manruss @robneyer “Now, it is time to add the avocados. Now, we very clearly asked for cinco, but there are only five in the bag from the farmers market. Was this a simple oversight, or is it just another example of a possible illegal staking a claim to something I earned? That’s for you to decide",availability,avocados,,
855,856.0,"It might feel like summer tomorrow, but it will taste like fall at the Champaign Farmers Market with delicious ice cream flavors including pumpkin cheesecake and pumpkin spice latte! Find out what else is lined up: https://t.co/3Ofuc61o6X https://t.co/7SPBs01ep0",quality,"taste like, delicious flavors",,
856,857.0,"So, if like me, you were wondering why the House #FarmBill proposes radical changes like cutting CSP, the entire local food/ farmers market program, specialty crops, and organic certification cost share, this is why:

The language comes right from @RepublicanStudy Cmte https://t.co/4sxKaVaR56",politics,"local food, specialty crops, organic",,
858,859.0,The Gurnee Farmers’ Market is back and better than ever! https://t.co/nDFJ4rIrM3,quality,better than ever,,
859,860.0,The Farmers' Market returns to @DowntwnEvanston this Saturday at 7:30am! Up to 58 vendors will sell a variety of foods every Saturday through November 3 https://t.co/cApXnldp4f https://t.co/Og6jAw9tcC,availability,"returns to, will sell, a variety of foods",,
861,862.0,"It's almost Saturday morning and you know what that means... Fresh finds are waiting for you at area Farmer's Markets! https://t.co/eLJ8pfv3lh

#IllinoisProud #EnjoyIllinois https://t.co/zBGplQnv6Y",quality,fresh finds,,
862,863.0,Very impressed with the pizza from Langhe Market at the Logan Square Farmers Market. The dough is so light. Available at their shop on Thursday. https://t.co/ZZpHuy7Lz5 https://t.co/DGBdcFmOtY,availability,"impressed, available",,
864,865.0,"Farmers markets foster civic engagement. According the USDA AMS, more than 60% of farmers markets are managed by volunteers https://t.co/UKAACTlzku #farmersmarketweek",politics,"volunteers, managed, USDA",,
865,866.0,"""Everything that we sell today was picked yesterday"" - Chad Nichols, on the freshness of the produce at the farmers market https://t.co/NBgKgTEYzI",quality,"sell, freshnesses produce",,
871,872.0,"Recipe of the day: Farmer's Market Potato Salad
Be sure, of course, to get the veggies from today's farmers market. https://t.co/YA8jnQSfLS",availability,"potato, salad, beggies",,
872,873.0,@Michell90013145 @leaflee11 It's pretty much the only option available in Chicago near me outside of farmers markets open at difficult times. Now I have some research to do,convenience,"only option, difficult times",,
876,877.0,Marquee at Block 37 apartments are steps from a seasonal farmers market https://t.co/nkJ9jruRrm,convenience,steps from,,
879,880.0,"Here's a recipe to try while there is plenty of fresh fruit at the farmers market! 
https://t.co/3Z98KLjNcE  #endlesssummer #recipe #foodwelove @bangbangpie https://t.co/JFnqMLoRnq",availability,plenty of fresh fruit,,
880,881.0,@thekapman Only cheese from a farmers market tho...,availability,only,,
881,882.0,update: i got strawberries and apple turnover at the farmers market and saw a BLACK CAT!!!!!!!!!!,availability,"strawberries, apple",,
883,884.0,"Sweet, white 🍑 peaches are white on the •inside•! No need to adjust your set, folks! (@ Downtown Bloomington Farmers' Market in Bloomington, IL) https://t.co/g5lngUJLJf https://t.co/WkrSgz069g",quality,"sweet, white peaches",,
884,885.0,I’ve taken up cooking in my 30s. I plan out 4 meals a week after going to the farmers market on Sunday. It’s been my favorite part of this year. https://t.co/wYiYrm05qv,quality,"meals, favorite",,
888,889.0,Start shopping at your local #FarmersMarket to enjoy richer and more nutritious produce - https://t.co/DMJ6cUFwe7 https://t.co/bSazcrxzbc,quality,"local, richer, more nutritous",,
891,892.0,"In celebration of National Farmers Market Week City Market and N End City Market are offering triple value on SNAP purchases up to $20.  Stop out 8.10 or 8.11 and take advantage of this great savings. Remember, both markets are conveniently located on RMTD bus routes.  c u there!",politics,SNAP,,
893,894.0,"Tomorrow, get an early workout at The Hyde Park Farmers Market at 7a, then use your coupon to get fresh produce for a post workout smoothie! Register here https://t.co/LpZeQi3Lyt https://t.co/eAnvUVs19A",politics,coupon,,
901,902.0,"Seasonal sage green, detail heavy, double breasted, high waist short wool jacket for autumn outings to the pumpkin patch or local farmers market. #fallfashion #sagegreen #woolcoat… https://t.co/dC9EFKafOm",availability,pumkin,,
904,905.0,Quick Bites: Local farmers markets keep produce selections fresh: https://t.co/gwmjuwD0qE https://t.co/5kgo5grrtm,quality,keep produce selections fresh,,
907,908.0,When did it become common to go to the local farmers market in Crystal Lake and discover that most all the produce was bought from farms far away? Corn from southern Georgia! Berries from Michigan!!,quality,"corn, berries, discover, bought far",,consumers
908,909.0,@John_Kass Farmers Market fruit vendors have the sweetest berries & peaches plums(not quite yet though you’ll ever taste. Michigan farmers already bringing several varieties of strawberries that are unrivaled by anything sold in a supermarket!,availability,"sweetest berries, peaches plums, varieties of strawberries",,
909,910.0,"Visit the new 95th Street Farmers Market today and every Thursday through Sept. 27, 3-7 p.m. at the 95th Street Library parking lot. Additional parking available at Neuqua Valley High School Freshman Center, southeast of the library on Cedar Glade Drive. https://t.co/tNlIKetxXy https://t.co/M6PJxaDsrh",convenience,"parking, visit",business,
912,913.0,"Making fresh produce affordable for all patrons is a hallmark of the #OakPark Farmers' Market, which accepts SNAP/LINK cards and WIC and Senior coupons.
More info and details about the Market's double-value coupon program is at https://t.co/rMC0NhL447 under ""Payment Options."" https://t.co/5l657UTnBm",politics,"affordable, SNAP, coupon",,
913,914.0,Enjoy the bounty of the farmers market every week. Take a moment of time and enjoy picking out the best & freshest of vegetables to use in these simple and elegant recipes.  Our featured blog is full of tricks & recipes using the freshest ingredients. -- https://t.co/qxdK9CVTa7 https://t.co/XMUUQ8QnmZ,quality,"best, freshest vegetables",,
917,918.0,"Boone County Health Department hosts farmers market, wellness fair https://t.co/dH9ztvcN98",safety,"health department, wellness",,
926,927.0,"@bgg2wl @Karnythia There are so many farmers markets in food deserts, though... 🙄",economics,food deserts,,
934,935.0,@profmusgrave Do the sell raspberries at your local farmers’ market?,availability,"raspberries, sell",,
943,944.0,Choose your local farmers market to find fresh fruits and veggies for #HealthyEating - https://t.co/Gbon6xPzTH https://t.co/uxVFvQzdWz,quality,fresh fruits and veggies,,
949,950.0,"Fresh tomatoes—sweet, juicy, and bursting with flavor—are a #farmersmarket highlight. Try some of these recipes this summer. Via https://t.co/W9hL8r0mer.  https://t.co/4r8OTH89Ft",quality,"fresh tomatoes, sweet, juicy, bursting, flavor",,
954,955.0,Do you shop at farmer's markets? They have some of the freshest food. https://t.co/c7qrn9kdh1 https://t.co/C0JKNQXLdQ,quality,freshest food,,
956,957.0,Things that make me smile: Summer mornings rippled by a light breeze and walks through farmers' markets loaded with seasonal produce 😊 https://t.co/iZSKWSEg3c https://t.co/lb9d7bAdIs,quality,seasonal produce,,
958,959.0,#FitTip: Visit your local #FarmersMarket to boost your local economy. https://t.co/5IIsMuPugU https://t.co/T64v3d0Aqt,economics,"boost, local economy",,
968,969.0,Food safety concerns at farmers markets https://t.co/Ynm0P1ldLA #foodsafety #foodsafetysummit,safety,food safety concerns,,
969,970.0,"Keep yourself happy and healthy this fall by picking up fresh, local fruits and veggies at the farmers market, visiting a local coffee shop for a hot beverage, and taking some time for yourself. #MondayMotivation https://t.co/4MW1lwhyaN",quality,"fresh, local fruits and vegetables",,
976,977.0,@Stone8RP ... That corn would be field corn which is feed for cows not sweet corn which you buy in a store or at a farmers market!!,quality,"field corn, not sweet corn",,
978,979.0,Up & out the door at WTF o’clock for a work event means no farmers market for me today 😞 Guess I need to wait another week to replenish my black truffle Camembert supply. Harrumph. https://t.co/EGU9OrDTUo,availability,"replenish, supply",,
