Sentences,Label 
"As a side, when going to the (WI) Brunkow Cheese booth, I inquired about their awesome product in a few of Chicago's notable restaurants to which they responded in utter confusion with a side of attitude.lol.",Non-relevant
"Hey Brunkow, if you're being featured in restaurants by your namesake, you might want to have the ppl representing your product/company have a basic understanding of where you are being served.",Non-relevant
Just sayin.,Non-relevant
I pass by they have like Google festival and computer science Also see ppl setting having their lunch on the areas w/tables and chairs then the fountain is very relaxing I made a mistake in ordering a shrimp sandwich from Amazing Shrimp the other day.,Non-relevant
"I've never thought of Hammond, IN as shrimp experts, or shrimp anything, but I figured, maybe they're transplants from a place where they do know shrimp.",Non-relevant
"Anyways, all I can say is UGH!",Non-relevant
Nothing is much worse than feeling gross for the remainder of the day.,Non-relevant
"The guy behind the tent thankfully dropped the garlic salt housed in a glass container, right before my order, or I would have been treated to a salt bath with what was termed a shrimp sandwich.",Non-relevant
The sammy was all about a huge brioche roll.,Non-relevant
"After that fluffy/puffy 2 inch high, 3 inches wide piece of shiny bread, I couldn't tell you much about the shrimp, as I couldn't taste it and only saw 1 chopped up and swimming in a mayo and cabbage sea.",Non-relevant
There was seriously A LOT of mayo - i tons of dripping mayo and messy cabbage hanging over the bread.,Non-relevant
It was more like a slaw sandwich with a medium sized shrimp as an afterthought.,Non-relevant
"For $13.00, that was about the biggest rip off the market has to offer.",Non-relevant
"Now, Brunkow Cheese of WI is the antithesis of the shrimp sammy.",Non-relevant
Everything from the aroma to the taste to the price was so perfect.,quality
Absolutely wonderful cheese!!!! 5 stars for the Brunkow family of cheese.,quality
"A few weeks ago, the best asparagus for a buck a bunch were here.",quality
"They were thin and green and delicious - so good, they were tasty raw.",quality
"Not to forget, a huge bargain!!",Non-relevant
Prices for cherries are high - or higher than Organic cherries delivered to my door...so I thought that was a bit odd for non-organics to be higher than organic.,quality
They looked tasty for the cherry devotees like me.,quality
There's a guy that makes AMAZING cakes and has samples out to tempt customers even further.,environment
If there were more than 2 of us to devour a cake I would buy one in a heartbeat.,Non-relevant
"Every flavor I've tried is decadent, flavorful, delicious and so moist.",quality
Great time at this farmers market!!!!,Non-relevant
"The variety is unbelievable, something for everyone.",availability
If you're in the city when the market is happening stop by!!!!!,Non-relevant
This is a great place to get lunch if you are downtown.,environment
"The prices are equal to or less than what you would pay in a restaurant and you can be assured of organic, non-gmo fare.",quality
I love Gayle's cheese sandwiches but they also have the longest line.,Non-relevant
"However, just down from Gayle's is a tamale shop on the southwest corner that serves organic vegan tamales 2 for $5 that are to die for!",quality
This particular market seems to lean more towards prepared foods for consumption probably because there is such a huge supply of rabid lunch fanatics.,Non-relevant
"However there is an ample selection of organic vegetables, meat, fruits, and normal farmers market-type items for sale.",availability
This market runs from mid-May to the end of October and is famous as the longest running farmers market in Chicago.,Non-relevant
The hours from 7 AM to 3 but many of the stalls stay open later so you can stop and pick something up for the ride home if you're lucky.,Non-relevant
Another great part of this great city is the various farmers markets.,environment
I was able to stop at this market and check things out.,Non-relevant
"Due to the location which is right outside of the Daley Plaza so you can pick up vegetables, fruits or flowers when you are leaving the courts, heading to work or during your lunch break.",availability
The market starts in the morning and ends early afternoon.,Non-relevant
The prices are okay for location.,environment
Great people watching.,environment
Go and enjoy this market.,Non-relevant
What an adorable little market!,environment
"They have pretty much everything you would expect (fresh pasta, plants, vegetables, dog treats, etc.) right in the middle of the loop.",availability
"I got a grilled cheese breakfast sandwich from Gayle's, which I will forever compare all future grilled cheeses against.",Non-relevant
Passed this twice before actually stopping to check it out.,Non-relevant
"Kinda lame in May, though...",Non-relevant
"Great people, great corn.",environment
"Freshest produce around,and their children are polite and darn good looking too.",quality
The corn on the cob was so sweet and delicious our family of four polished off a bag of 15 cobs in one sitting!,quality
So yummy. 15 cobs for $4.99.,quality
"We also bought a very good, sweet and juicy watermelon.",quality
We spent only ten dollars our first trip there.,Non-relevant
We will be hitting this farm stand again VERY soon!,Non-relevant
Love this place!,Non-relevant
The corn on the cob is my absolute favorite!,Non-relevant
I find myself frequenting Brandau's multiple times a week during the summer.,Non-relevant
All of the produce is fresh and tasty.,quality
This place has THE BEST Michigan peaches you will ever taste.,quality
It's family owned and the guys there couldn't be nicer.,environment
"Visiting the Glen Ellyn French Market was a bit of a surprise, since my family and I are used to the bustling Saturday market in Wheaton.",Non-relevant
"From what I gather, this market is newer, maybe still getting rolling.",Non-relevant
"It happens on Sundays, from 9am to 2pm, in the parking lot at the corner of Crescent Blvd and Glenwood Ave.",environment
It's expected to continue until the end of October.,Non-relevant
"On our visit here, there were a couple farms selling produce, several bakeries, stands selling granola, tea, iced coffee, sausage and cheeses.",availability
A lady was selling Usbourne books (love those!).,Non-relevant
Hmm what am I missing?,Non-relevant
"Oh yea, two guys were making the most delicious chicken tacos.",quality
The amount of vendors and the crowd size are definitely more manageable than the Saturday market in Wheaton.,environment
"I didn't care for the iced coffee I tried, which had me missing my Saturday cup from I Have A Bean.",Non-relevant
"I'd skip that next time, but the rest of the market is worth checking out.",Non-relevant
"If you see the guys grilling chicken, you must try a taco!",Non-relevant
I've just returned from a shopping trip to the Glen Ellyn French Market.,Non-relevant
I arrived at about 12:30 on a spectacularly beautiful fall day.,Non-relevant
"Despite it being close to closing time, every vendor's booth was well stocked.",Non-relevant
"Not a lot of vendors compared to Wheaton and even little Warrenville, but there is a decent choice of ""farmers"", meat purveyors, bakers, and random sellers of jewelry and olive oil.",availability
"That said, the biggest negative is the lack of shoppers.",Non-relevant
I am not exaggerating when I say that I could count them on one hand- (and I think that 2 of them might have been vendors looking for something to do) Every time I've gone this summer I've been shocked at how unsupported this market feels.,Non-relevant
It's like going into a store where I am the only shopper- the help just stares and hovers it's all I can do to keep from bolting out the door.,Non-relevant
I'm not sure why this is the case.,Non-relevant
Maybe the move from Friday to Sunday wasn't such a great move (not that Friday packed 'em in either).,Non-relevant
Perhaps moving it to Sunday AFTERNOON would be better?,Non-relevant
At least then a few downtown stores would be open too.,Non-relevant
Add some music or something to give it a more festive buzz?,environment
Right now it feels awkward and just plain dead.,Non-relevant
"I am moving from Cedar Rapids, and you have absolutely no idea how much I am going to miss the Downtown Farmers Market.",Non-relevant
I love walking around downtown in the blocked off areas and shopping.,Non-relevant
There is such an amazing variety of things to purchase!,availability
"Lawn ornaments, food, kettle corn (mmmm), jewelry, cutting boards, plants, produce, breakfast burritos, you name it.",availability
"I had my favorite vendors that I always hit up, but I loved going to every shop and checking out what is new.",Non-relevant
"It's a great place to take visiting friends and family, and it is friendly for all tastes of style and food.",environment
Everyone we ever took there fell in love just as much as I did.,Non-relevant
I will definitely be driving back a few weekends this summer to attend!,Non-relevant
I love it!,Non-relevant
The night market was fun but busy...,environment
I'm sure the next one will be more organized to handle the crowd.,environment
"First off, lets call it what it is people, it's a french market, not a farmers market.",Non-relevant
"Supposedly one of the largest 'farmers' markets in the Midwest, and I'd believe it.",Non-relevant
"At least 8 blocks of produce, meat, baked goods, jewelry, crafts, and street food vendors.",availability
I didn't check *every* produce vendor but the ones I did notice were all from Iowa.,Non-relevant
I wish I had a cooler big enough to bring some organic free range chickens raised in Iowa all the way home to Chicago.,quality
It's a pity this market is only every other weekend.,Non-relevant
By 8:30 the streets were packed and a few vendors were running out of green beans and cherries already.,availability
Only open till noon so get up early and wander around downtown Cedar Rapids before all the good stuff is gone!,Non-relevant
This is a pretty good Farmers Market.,environment
It's definitely the largest in the area.,environment
They have nearly everything you could want and some of the vendors even take EBT.,availability
Parking is always an issue when you have such a gigantic event.,environment
No problem - I just ride the bicycle down there.,Non-relevant
It's more convenient and also lets me limit the amount of things purchased.,environment
"Being a minimalist who lives in a van (by choice), I can tell you this is a ""grazer's"" paradise!",Non-relevant
There are lots of samples - enough for a free meal.,availability
The only thing I really don't like is that dogs are permitted in the farmer's market.,environment
I think this poses a health and safety concern.,safety
It's only a matter of time until something happens - a child is bitten or there is a dog fight or I step in dog sh** ....,safety
About a month ago I saw a large dog lean forward and lick a cucumber sitting near the edge of a table.,safety
Gross!,safety
The other thing that bothers me has been mentioned before: One week the event is in the downtown area.,Non-relevant
The other week it is much smaller and located near 8th Avenue.,environment
I wish we could have it one way or the other.,Non-relevant
A couple of times I've gone to the larger downtown site hoping for something only to find the smaller market was being held a few blocks away.,environment
"For the dog issue and the inconvenience of not having the market in the same place each week, I'm going to deduct two stars.",environment
I've witnessed several incidents with dogs and don't feel comfortable with them being permitted in here.,environment
Mark my words - it's only time till something bad happens.,Non-relevant
"If I get bitten, the owner is getting sued as well as the city for its negligence.",Non-relevant
"Other than those minor little things, I think this is a decent event and am glad we have it in Cedar Rapids.",environment
It shows what can be accomplished when we all support a great idea..,Non-relevant
You will ask yourself how I can write a mostly negative review of one of the best Farmer's Market around and still give it 4 stars.,Non-relevant
So I will explain.,Non-relevant
The Downtown Farmer's Market is a outstanding venue and is one of the largest in the nation and probably in the state.,Environment
I have been involved with it every since it first started both as a buyer and as a concessioner.,Non-relevant
Over the years the market has expanded to extend for many city blocks and attracts vendors from miles around.,Non-relevant
The downtown market is not a true Farmer's Market in that it allows non-food vendors as well.,Non-relevant
"You will see people selling everything from jewelry to candles; food sellers from local restaurants, wine, clothing, local charities, entertainers, and so on.",availability
Among all the vendors are actual produce sellers.,Non-relevant
A list of most vendors can be found on the Downtown Market website.,Non-relevant
It is a huge and fabulous Saturday event.,Non-relevant
And yet I prefer to skip it in favor of other Farmer's Markets which are smaller and more produce oriented for the following reasons.,Non-relevant
1,Non-relevant
It is VERY crowded.,environment
"Attendance is high (easily topping 16,000 per Saturday morning) and the jostling and shoving can be overwhelming at times.",Non-relevant
You will find a lot to purchase but you will leave exhausted.,Non-relevant
2,Non-relevant
It has become so big that you will find it difficult to find the vendors you really want to buy from among the 220 + vendors.,environment
We are talking about 11 streets here and no printed map to guide you.,Non-relevant
3,Non-relevant
The crowding is aggravated by carts and strollers making it difficult for challenged walkers to navigate.,environment
I recommend that seniors try the smaller markets instead.,environment
4,Non-relevant
The organizers still have not learned to ban dog walkers.,environment
"You will have to dodge leases, the infrequent dog fight, and other canine problems.",environment
Just think a minute.,Non-relevant
What would you think if you saw people walking the aisles of the local supermarket with a dog?,environment
What we have in the Cedar Rapids Downtown Market is a great market that has gotten a bit too big and needs to be trimmed down.,environment
"I am a long-time fan of Farmer's Markets and have attended them for many years, long before the downtown market even existed, but my preference is for the smaller markets, which I visit once a week religiously.",Non-relevant
The downtown market is only an occasional thing.,Non-relevant
A great place to spend a summer Saturday morning.,Non-relevant
"There are over 200 vendors ranging from prepared food, wine, candles, crafts and jewelry and even...produce!",availability
The downtown farmers market attracts thousands of people (and hundreds of pets) at each event on the first and third Saturday from June to thru Sept.,Non-relevant
"Open from 7:30 to noon, you'll need to come early to get some of the most popular items.",Non-relevant
The downtown CR farmers market is never a disappointment!,Non-relevant
Roll out of bed and start your Saturday morning right.,Non-relevant
They have plenty of options for a quick breakfast while browsing the market.,Non-relevant
I love love love the jewelry offered-picked up some of the cutest earrings for cheap!,Non-relevant
The market has quite a few wine vendors that are great.,environment
You cannot beat the prices of fruits and veggies here.,environment
"Don't miss out on the live music, juggling acts, and break dancing, either!",environment
"I love, love, love the Farmer's Market in Downtown Cedar Rapids.",Non-relevant
It is ginourmous and the variety of vendors is really great.,availability
I come for the fresh produce but stay for the food vendors!!,quality
Had a chicken gyro from the Aladdin stand and it was an awesome breakfast.,quality
"I looked for the famous Victor's breakfast burrito stand, but they were no where to be found.",Non-relevant
Not that there arn't a plethora of awesome vendors to choose from!,availability
"Seriously, come with an appetite.",Non-relevant
You won't be dissapointed.,Non-relevant
"I love all of the fresh flowers, the huge gardening pots and plants at ridic prices, the fresh breads, handmade jewelry, metal work, and of course the fresh produce.",availability
"It gets seriously crowded though, so be prepared/patient and enjoy.",environment
"Some places do accept checks and credit, but I play it safe and bring cash.",environment
I look forward to going every Saturday they have it!,Non-relevant
We moved here just in time to catch the last one of the summer and I must say I was blown away.,Non-relevant
"I think I had low expectations coming from California with all the farmer's markets there, but downtown Cedar Rapids farmer's market was amazing.",Non-relevant
"Meat vendors, wine vendors, so much great produce, and tons of homemade foodstuffs.",availability
"We got BBQ sauces, cupcakes, cheese....so much tastiness.",quality
I can't wait until it starts again and will definitely bring more bags next time.,Non-relevant
The farmer's markets downtown are one of my favorite ways to spend a Saturday morning.,Non-relevant
"You can find a wide variety of items (of course FOOD, jewelry, flowers, home items, clothing, books) and entertainment (magic shows, juggling, music, theater previews, and a junk band, children's play areas).",availability
You can really spend as much or as little money and time as you want.,Non-relevant
I only wish they would start doing it every Saturday instead of biweekly.,Non-relevant
"If you haven't been yet, it is definitely worth waking up for!",Non-relevant
"I just got back from Mexico so it was nice to hear people speaking in English, and not see trash everywhere!",Non-relevant
It was nice to get out and walk around!,Non-relevant
Downtown Cedar Rapids is a nice and clean area with great people and great local business's!,environment
"I picked up a few things for the homestead one of the cooler things I think that I got today was an ANT that was made of three rocks and some metal welded around it with washers as the eyes! (RS Randy Schnebbe Welding Studio) Victor, Ia.",Non-relevant
I also found someone to buy great tasting Lefse from!,quality
"Dale Surh Free-range Chickens, Lefse and Kringla.",quality
"Calmar, Ia.",Non-relevant
In a word (customized word art) it's a little expensive and you could easily do it yourself but I bought a Chicago sign for $56.,environment
I also got some Buttermilk Banana Bread with no nuts! from Carletta's sweet things.,availability
I didn't think I was going to have much fun with this but I had a great time the weather was so nice the sun was shining and there was a lot of people out this is way better then going to wal-mart.,environment
"There's not much for entertainment but there was a kid that was break dancing for tips a guy playing a guitar, and a girl playing the saxophone for her college fund.",environment
There's over 200 vendors some of them take debit and credit cards but your best bet is to just bring some cash!,environment
The 2010 Farmers market beat out DSM's market for the most vendors and activities this year.,Non-relevant
"Its always packed, and great to bring the kids and big stomachs.",environment
Great artisans and food vendors.,environment
Open's your eyes to all that is local and out there that you never knew about.,quality
"There are several live music stages/areas, performance artists, cooking seminars, and much more.",environment
Great place to come and get the fresh goodies to run home and hit the grill or kitchen to star in your own Food Network show parody.,quality
"Sometimes parking can be an issue, so look around or hit the parking ramps.",environment
"Bring your walking shoes, as its several blocks.",Non-relevant
Excited to see if the NewBo year-round market will be going up too.,Non-relevant
"CR also needs a Co-Op like New Pioneer, Bread Garden market, or a Whole Foods.",Non-relevant
We absolutely love going to the Cedar Rapids Downtown farmers market.,Non-relevant
There is something for everyone there and the produce is very economical.,quality
This market is surprisingly large and diverse for Cedar Rapids and it is always great to see so many people out and about in downtown.,environment
"If you are looking for the freshest produce and smaller crowds, make sure to get there early!",environment
A fantastic summer event in the area and outstanding compared to many farmer's markets.,environment
"Around 200 vendors with a variety of products (produce, food, flowers, arts/crafts, clothing, specialty items, etc.) line multiple streets in the downtown area.",availability
The size and offering really is outstanding.,environment
"Depending on the date and the weather, it can be very crowded and difficult to walk through the streets.",environment
"An increasing number of dogs has also been a concern to some patrons, although typically there do not seem to be problems.",environment
"Demonstrations and performances are also held in multiple places throughout, and a number of non-profits fill the park to provide information on all subjects.",environment
A must-attend event for anyone visiting the area or living nearby.,environment
The farmer's market is on the property of Nature's Touch.,Non-relevant
"Some of the same vendors you see in Beloit and Janesville markets are here too, not all, but some.",Non-relevant
"It isn't as busy as Beloit, not as many vendors, but being smaller allows to talk more to the vendors and learn about their products.",environment
We discovered a knife and tool sharpening service and the time we went we took a bunch of tools for sharpening.,Non-relevant
Very good job!,Non-relevant
"The popcorn vendor has a unique blend of salt and sugar, which is tasty.",quality
There is a man who creates yard items and I purchased a potting table from him.,Non-relevant
A gorgeous piece.,Non-relevant
Great craftsman.,environment
"They had plants, some vegetables, but we have been told by the organizer as summer continues, additional vendors will be bringing more produce.",availability
"Bonus, we get to walk through the nursery and see what's new!",Non-relevant
"This is a really nice market, and is held on the second Saturday of the month, from May thru October.",Non-relevant
It is located on a lovely park along the I& M canal.,Non-relevant
"The items for sale include, antiques, handmade items, baked goods, and produce, vintage items.",availability
"It makes for a nice, relaxing day trip to spend time browsing the market.",Non-relevant
"Downtown Morris is within walking distance of the market, and has some interesting shops, and restaurants.",Non-relevant
This market does have something for everyone.,availability
The canal that runs next to it has green algae floating on the top.,Non-relevant
It is a nice place to walk around and see the myriad of vendors.,environment
I do visit this market a few times between May and October.,Non-relevant
SOME of the craft vendors are mighty proud of their wares as evidenced by their high prices.,environment
"Being a crafter myself, I know how much things cost to make.",Non-relevant
I do understand that it is hard to put a price on your time but some of the prices being charged are ridiculous.,environment
"Yes and I know that if you don't want to pay that much, don't buy it.",Non-relevant
You can't even make a deal with them.,Non-relevant
They will not haggle.,Non-relevant
"If they really want to sell their wares, they should have some leeway.",Non-relevant
"The market is exactly as advertised - a bit of everything: antiques, vintage, crafts, produce & baked goods with emphasis on the antiques & crafts.",availability
We learned about it from the farm bureau magazine and this seemed like something different to explore.,Non-relevant
It is obviously popular with the locals and people were buying.,environment
We were disappointed by the lack of produce options (There were only two vendors selling produce.) but enjoyed the bakery booth.,availability
The event is held in a city park that is right next to a standing water offshoot of the Illinois canal that was covered in bright green algae.,environment
Thank goodness it was drizzling or the mosquitoes would have been unbearable.,environment
This seasonal produce stand has been selling in front of the Edgewood 5 Seasons Car Wash (and other locations around town) for a number of years.,Non-relevant
"Their signs advertise Muscatine Melons, Sweet Corn, Tomatoes, etc.",availability
"They pass themselves off as local producers, but I think it's all a sham.",Non-relevant
"I'm not sure about the melons, but the corn and tomatoes certainly aren't locally grown.",availability
"I had my suspicions when I spotted the commercial produce boxes under the table that said ""Arkansas Tomatoes.""",quality
"So I asked about the origin of the tomatoes that had all the characteristics of a store bought tomato and they answered, ""Ohio"". They said the corn came from Muscatine, so I bought a bag.",quality
I couldn't wait to have my first bite of summer with a juicy ear of Iowa sweet corn.,quality
Only problem was it tasted exactly like the flavorless Florida corn you buy in the grocery store.,quality
"If you want commercially grown produce shipped from far away, then save yourself some time and money and get it at Wal-Mart.",Non-relevant
I'm pretty sure that's where these people get their inventory.,Non-relevant
I felt taken and will never go back.,Non-relevant
"Great food, great music, what's not to love.",environment
I do wish there was more produce options and not so overpriced but over all we love going to each week Great market on Wednesdays from 2:30 to ?,availability
"On Wednesdays. 2018 stalls are very good for baked breads, wine tasting, food trucks, produce and even rare items like delicious homemade kimchi and korean veggies!",quality
Not all the same venders as larger saturday lafayette market so each have their own characteristics.,environment
Nice variety of local goods and wares.,availability
Slight increase in street traffic on market days but police assist in traffic control and pedestrian crossing.,environment
Many of the vendors participate in the other local farmer's markets.,environment
A great way to get groceries for the second half of the week.,Non-relevant
Get up-to-the-minute updates from their Twitter account http://twitter.com/#!/wlfarmersmkt.,Non-relevant
Sign up at the booth to get your free West Lafayette Farmers Market reusable grocery bag (on your 3rd visit).,Non-relevant
Buy local!,Non-relevant
"Same thing other people have said: awesome French market, but it gets crazy crowded, especially later in the day.",environment
"That being said, there are a variety of vendors, from produce and flowers to baked goods to meat to clothing and jewelry to books.",availability
"It is a pretty stable group of vendors, that is, it's pretty much the same vendors in the same place each time.",environment
Everyone I've met is really friendly.,environment
"Prices do vary quite a bit from one vendor to another, especially with produce.",environment
Our favorite thing is to ride our bikes over on Saturday morning.,Non-relevant
"There's a fair amount of parking, especially in the garage (across from the DuPage Medical Group building), but it's really easy to bike there since it's right off the prairie path.",environment
"Convenient access to downtown Wheaton for whatever else you may need/want (i.e. the library, Carlson's hardware, etc.)",environment
"When I lived in Illinois, I loved this French Farmers Market in Wheaton.",Non-relevant
It had to be one of my first stops when I came back to town.,Non-relevant
My favorite memory about this market was buying a huge tropical beach painting from one of the vendors.,Non-relevant
It was one of my hubby and I's wedding presents to each other.,Non-relevant
This time around it was as great as I thought it would be.,Non-relevant
"They have tons of little local vendors selling their crafts, food, popcorn, ice teams, clothes, flowers, jewelry, and home d_cor.",availability
There's a lot to see and several rows of it.,Non-relevant
It has a nice location by the train station and steps from Downtown Wheaton.,environment
One thing that I noticed after the fact when I had already been through the market is that they are not dog friendly.,environment
My dog was walking all throughout the market with no problem.,Non-relevant
"Than at the end, I see the small sign that says no dogs allowed.",environment
I don't understand how that could be the case when this is outside.,Non-relevant
"Either way, no one stopped us with him walking around and it was fine.",Non-relevant
"Another thing is that there really aren't that many food vendors as I thought that would be. there was a popcorn vendor, a bakery, some coffee, and maybe about 2 or 3 more food vendors.",availability
"There was not much selection, so if you are hungry just keep that in mind and check out something in downtown Wheaton.",availability
I'm taking one star off simply because it gets PACKED!,quality
As in you can't move while attempting to walk through the aisles.,environment
"And then people bring their kids, strollers, and dogs, and you think all hell is about to break loose.",environment
The assortment of vendors is great though.,availability
"Flowers, produce, meats, bakery, coffee, jewelry, skincare, etc.",availability
"It's all there, and it's all beautiful and wonderful.",quality
I love it when vendors give out samples - we bought several things we otherwise wouldn't have!,environment
Definitely get there early!,Non-relevant
"By 10am, you could see inventory had already starting to decline.",Non-relevant
"Plenty of other shops and restaurants to visit while your in the area, and a beautiful little walking path by the library as well!",Non-relevant
Overrated and overcrowded.,environment
Go here when they open and a lot of stuff isn't set up.,Non-relevant
Go here late and a lot of stuff is sold out.,Non-relevant
Go here in the middle and the parking lot on Willow is really backed up and precarious.,environment
"Totally crowded at 10:30AM, can't even move.",environment
Now here's where my complaining really begins:,Non-relevant
"I know it's a ""French market"" and not a ""farmers' market"" but the fact that this place is 9-10x more jewelry and pastries than produce is ridiculous.",Non-relevant
"That's kind of depressing, and the little bit of farmer's stands is not super great either.",environment
"Out of this whole place, only one is organic produce.",quality
Just one stand.,Non-relevant
And they sell out of stuff QUICK.,Non-relevant
The other places have been mostly disappointing.,environment
"Instead of growing and selling spring crops locally in the spring, they'd rather sell summer crops from Florida.",Non-relevant
And they all had these southern Illinois strawberries that were all bruised and looked like they were going bad.,quality
It seems like they all got them from the same distributor/farm or whatever.,Non-relevant
They aren't selling things they grow for the most part.,quality
The one nice thing I got was some Michigan hydroponic tomatoes that were very fresh and broccoli.,quality
"Let's hope they taste as good as they look, and let's hope the southern Illinois strawberries (which I got out of curiosity) taste a whole lot better than they look.",quality
I thought local food was supposed to be fresher than grocery store food?,quality
Not always.,Non-relevant
Maybe those tomatoes will bring me back to fight the crowds next week but they'd have to be pretty damn good.,environment
Came here for my first time today as it was beautiful a outside and wanted to check out the local fare.,Non-relevant
"Tasted some locally produced honey, breads and kettle corn.",quality
"They had pretty broad selection of clothes, crafts and foods available from different local vendors.",availability
"Found some fresh model mushrooms available that had been picked in Wisconsin and considering I didn't find any this year, 10 bucks for a seasonal delicacy wasn't a bad deal!!",availability
Indulge much?,Non-relevant
I had such a great time choosing my indulgences at this market!,Non-relevant
And most were within reason.,Non-relevant
It was a win-win!,Non-relevant
We went earlier in the day to avoid the crowds that gather here in downtown Wheaton.,Non-relevant
"But by the time we left, it was getting crowded and the strollers had made their way to the aisles.",environment
"So yes, come early.",Non-relevant
I started making purchases almost immediately.,Non-relevant
I think that may have been a mistake.,Non-relevant
Similar vendors had similar products at a lower cost as I moved up and down the aisles.,Non-relevant
"If you have the time, I would encourage you to look at everything and then make your decisions.",Non-relevant
But if there's a limited supply of things - get it while the getting is good!,availability
Let's talk about some of my favorites...,Non-relevant
We tried some honey.,Non-relevant
It was marvelous!,Non-relevant
Different honey combos jarred up and ready to go.,Non-relevant
They even had mini jars available so you could take home a variety.,availability
I loved that I could taste the options before I purchased.,Non-relevant
"Thank you, Bron's Bee Honey!!",Non-relevant
St. Roger Abbey was there complete with nuns and baked goods.,Non-relevant
Another win when we ate that chocolate tartlet.,Non-relevant
Denny's Acres supplied me with Yukon gold potatoes that I split over two dinners and some gorgeous baby asparagus.,availability
They had a nice variety of produce to offer and I wouldn't hesitate to purchase from this local vendor again!,availability
I tried tea from two different vendors.,Non-relevant
"Both were good, but I preferred The Tea House.",Non-relevant
The gentleman working that booth really knew his stuff and I was sold on the Tea-Vine without even tasting it.,Non-relevant
I've since tasted it and it's exactly as he described.,quality
Nice!,Non-relevant
"There were at least two meat vendors, but I was wooed by Farm Fresh Foodstuffs.",Non-relevant
Yet another knowledgable man in the crowd.,environment
He had a lot to say and I ended up a big fan after a few minutes of chatting.,Non-relevant
I bought two different types of bacon.,Non-relevant
My girlfriend bought ground beef.,Non-relevant
And it looks like they may be able to help with a raw diet for a special Princess I know. :-),Non-relevant
Hahn's Bakery from Geneva was here.,
"I am already a day of Hahn's, so I was on the hunt for a kitchen sink cookie, but alas they did not bring those for the day.",Non-relevant
"Although, I did hear they were asked by multiple people, so it may make its way into their French Market inventory in the future.",Non-relevant
You never know...,Non-relevant
What they did provide were fresh baked pretzel rolls and still warm donuts.,availability
"No, not warm from the sun...but warm from the onsite fryer.",Non-relevant
They're making that magic happen on the premises.,Non-relevant
It was a perfect way to wrap up a delicious morning at the market!,Non-relevant
"This French Market is everything a French Market should be, so it's very crowded!",environment
"Here you'll find fresh crepes, beautiful flowers, fruit and vegetables, handcrafted soaps, jewelry, knick knacks, it has it all.",availability
"There's 4 aisles of local fare and most of the vendors are friendly, save the jewelry lady who was extra snarky.",environment
My top pic for jewelry here is Adorn512.,Non-relevant
Such a delicate and unique but trendy selection.,availability
About the crowds though.,environment
I'd recommend either coming early to avoid them and have first pick of the best produce.,Non-relevant
I love spending my Saturday mornings walking around Farmer's Markets.,Non-relevant
I've been to the Wheaton French Market three times already since moving to Wheaton.,Non-relevant
The vendor offerings are pretty good and I always find myself leaving with at least a few goodies.,availability
"You can find expect to find macarons, coffee, pastries, bread, olives, pickles, dog treats, jewelry, gluten-free goodies and don't forget about the fruits and veggies.",availability
The good: -You're supporting small business owners and farmers -It's a good way to discover new products or items you haven't tried before -All your favorite Wheaton businesses are in one convenient location -Lots of vendors take both cash and cards!,environment
Huge pro,Non-relevant
The meh: -No dogs allowed.,environment
"Although my dogs aren't well behaved enough to visit such an event, I always love meeting other dog owners and seeing the pups around. -The space itself is incredibly narrow-- which probably has a lot to do with why no dogs are allowed. -Parking is tough unless you get here right when it starts or a little before.",environment
You might find yourself driving in circles for parking for awhile.,environment
I was here at 745 one morning and had my share of parking spots.,environment
The bad: -No real cons that would keep me from coming,environment
I'll continue coming to The French Market as long as the weather and my work schedule allows.,Non-relevant
It's a great way to spend a relaxing Saturday morning.,Non-relevant
My favorite Saturday morning destination!,Non-relevant
"Lots of vendors: Loose teas, Thai Food, crepes, fresh donuts, gluten-free cookies and scones, fresh vegetables, artison's treasures, jewelry, soaps, local honey, fresh-squeezed lemonade, pies, woven baskets, puzzles, puppets, gorgeous plants and fresh-cut flowers, etc.!",availability
Get lost in the crowd!,environment
This market has a variety of things!,availability
"From fresh veggies, fresh fruit, fresh crepes, fresh coffee, fresh smiles!",availability
Just a lovely place to be on a Saturday morning.,Non-relevant
Plenty of seating and people are so pleasant.,Non-relevant
Maybe this market has declined since the previous reviews.,Non-relevant
It is messy.,safety
"The vendors are crammed into, too small of an area making it uncomfortable to navigate THEM AND the patrons who feel it necessary to bring strollers or walking dogs.",environment
"I LIKE kids and dogs, but the little ones get bags in their faces, trip people up and see only butts and legs (and dogs).",environment
Both are safety hazards.,safety
There are also too few garbage bins and it is common to see used toothpicks from samples littering the food product tables.,environment
"This market has 3 notable vendors, cheese; pretzel/bread and knife sharpener.",availability
All others are price-gougers and slopping messers!,availability
A wonderful and pretty large farmer's market.,environment
"Great choice of local and seasonal veggies, fruits, cheese, pastries, breads, coffee, tea, crepes, jams, jellies, mustards, jewelry, accessories, etc.",availability
There was even a little live music.,environment
"The only downfall was that there was only 1 booth containing any meat or eggs, and by 10:30am the eggs were sold out.",Non-relevant
I purposely wear a scarf whenever i come here to get the true FRENCH market experience.,Non-relevant
Just kidding.,Non-relevant
(No I'm not).,Non-relevant
"Oh, that, and pretty much dodging all the bees flying around all the vendors with sweets and produce.",environment
This is one of the best markets in the Illinois suburbs. 4 rows of local arts and crafts and also baked goods and produce.,Non-relevant
Love the fall season especially because of the squashes.,Non-relevant
My favorite so far are acorn and butternut.,Non-relevant
