Sentences,SGD_Pred,LR_Pred,TFIDF_Pred,Vote_Pred
It was incredibly offensive and discriminatory and I will never ever be returning back to support this organization.,environment,environment,quality,environment
Great place.,environment,environment,environment,environment
Fresh produces.,quality,quality,quality,quality
I found Organic cage free eggs.,quality,quality,quality,quality
Lots of fresh greens even flowers there.,availability,availability,availability,availability
I'll comeback for sure.,environment,environment,quality,environment
By far one of my favorite farmers markets in the Chicagoland area.,environment,environment,environment,environment
I truly feel like I can do 95% of my weekly shopping here.,environment,environment,safety,environment
"Great produce, baked goods, and other prepared foods.",quality,quality,quality,quality
"We always get fresh local produce, meat, eggs, juice (city press!!!), and a few other fun finds every time we visit.",quality,quality,quality,quality
Then we end our market day with amazing crepes.,environment,environment,environment,environment
Such a great way to spend summer mornings.,environment,environment,environment,environment
"Lots of vendors, so the selection is great.",availability,availability,availability,availability
The Mexican and crepe stands are where it's at.,availability,environment,availability,availability
"It's a fairly large market, probably the biggest in the burbs, but parking is a challenge.",environment,environment,environment,environment
This farmers market is huuuuuge!,environment,environment,environment,environment
"The variety of options are amazing, some places better than others!",availability,availability,availability,availability
It's more produce heavy than most I've been to which is great!,quality,quality,quality,quality
There was a stall in the back that sold 10 zucchinis for $1.,environment,quality,quality,quality
I must be in heaven!,availability,environment,availability,availability
"Located right next to the public parking lot downtown, it's conveniently located.",environment,environment,environment,environment
In case you're hungry there are a few vendors that sell ready to eat food like empanadas and salads.,availability,availability,availability,availability
Good place to buy fresh produce at reasonable prices!,quality,quality,quality,quality
Also great to just stroll around and admire at bustling produce lovers!,environment,quality,availability,N/A
Been coming forever.,environment,environment,quality,environment
Wonderful way to spend an early Saturday morning.,environment,environment,environment,environment
Terrific farmer's/staff.,environment,environment,environment,environment
Food demos.,environment,environment,safety,environment
Artwork.,environment,environment,environment,environment
Ample parking.,environment,environment,environment,environment
"Fresh, fast, convenient.",quality,quality,quality,quality
This farmers market was great.,environment,environment,environment,environment
"Lots of fresh fruits and vegetables, friendly staff.",environment,environment,availability,environment
"I will definitely be back Easy to locate, super convenient garage parking if street is unavailable.",environment,environment,environment,environment
Tip - first hour or two in the garage is free.,environment,environment,environment,environment
"Nice mix of vendors, honey, cheese, meat, veges, fruits, eggs, herbs, baked goods, etc.",availability,availability,availability,availability
The day we were there we scored some really nice asparagus.,quality,environment,quality,quality
Some simple live music working for tips adds a nice touch.,environment,environment,environment,environment
People watching and the spirit of youth is all around you.,environment,environment,environment,environment
Plenty of shop and dine nearby if needed.,environment,environment,availability,environment
"Tip - not that I witnessed in the farmers market itself, but around the rest of Evanston lots of panhandlers.",environment,environment,environment,environment
To the point where they will even walk up to you at a table in a restaurant while you are eating - unsavory.,quality,quality,quality,quality
Great framers market!,environment,environment,environment,environment
I wish we had a farmers market like this at home!,environment,environment,environment,environment
Such a great variety and prices are pretty good.,availability,availability,environment,availability
"As an Evanston resident, I feel lucky to be so close to this Saturday farmers market.",environment,environment,environment,environment
My family looks forward to it every weekend!,environment,environment,safety,environment
Its become a tradition to visit the market.,environment,environment,environment,environment
There is a variety of great vendors that are warm and friendly.,availability,environment,availability,availability
"The orifice are fresh and in season, so there is always something new.",quality,quality,availability,quality
Best farmers market in the Chicagoland area!,environment,environment,environment,environment
"Great food - tamales, elotes, crepes and lots of great baked goods from Sweety Pies in Skokie to Bennison's donuts from Evanston!",quality,quality,quality,quality
"Organic and locally grown produce that while yes it's more than you pay in grocery stores, I'd rather know where my food came from and pay the extra to feel secure it's not a GMO product grown in Mexico then covered in wax and shipped here.",quality,quality,quality,quality
Great meat vendors with grass fed nitrate free meats and allsprts of eggs from duck to quail to chickens!,quality,quality,availability,quality
"The most variety of apples I've ever seen can be found at Nicol's Farm, they also have rare items like salsify and fresh mushrooms harvested from the woods (chicken of the woods, hen of the woods, etc), they also have a few varieties of gigantic sweet potatoes!!",availability,availability,availability,availability
This is an awesome way to start any Saturday with a fresh cup of Intelligentsia coffee from Sweety Pies with a scone or croissant or crepe!!,quality,quality,availability,quality
I'm going to say that for vendors and quality of produce this market gets a 5!,quality,quality,quality,quality
But beyond that it gets a 1 star.,environment,quality,quality,quality
Ok first no dogs.,environment,environment,environment,environment
Second there is security all over taking away from the whole farmers market feel.,environment,environment,environment,environment
Also they need a bigger space it is way to compact.,environment,environment,environment,environment
Since there are NO dogs allowed I will not go back!,environment,environment,environment,environment
"Tomatoes and Berries and Corn, Oh My!",availability,availability,quality,availability
All that and a whole lot more!,environment,environment,environment,environment
I came to the Farmer's Market to get some fruits to bring as a snack to the beach.,environment,environment,environment,environment
I read its reviews and knew there would be lots more than fruits available.,availability,availability,availability,availability
"I didn't get any fruits, but ended up having a nice lunch and browsing the stalls.",environment,environment,availability,environment
I'll be back here for sure and here's why.,environment,environment,environment,environment
"*Lots of fresh produce. some of the stalls carry the same thing, but sample when they offer, that might make a difference when you're ready to buy.",quality,quality,quality,quality
*Spacious.,environment,environment,Non-relevant,environment
"Lots of room for browsing without feeling claustrophobic, totally wheelchair and stroller accessible.",environment,environment,environment,environment
*Kid Friendly.,environment,environment,environment,environment
I was so surprised to see small tables and chairs for the little ones to sit.,environment,environment,environment,environment
There were also coloring pages offered and a huge bin of crayons.,quality,quality,availability,quality
And sidewalk chalk!,environment,environment,Non-relevant,environment
Oh my sidekick had so much fun with the sidewalk chalk.,environment,environment,environment,environment
"I don't know if that's the norm, but I totally appreciated a fun diversion for him.",environment,environment,quality,environment
*Food stalls like crepes and tacos.,availability,availability,availability,availability
The crepes stand is a favorite of mine--I think they were at another Farmer's Market I visited in Portage Park last year.,environment,environment,environment,environment
I also spied elotes from another stall but I was too full from the crepes to try one.,quality,quality,quality,quality
"I spied smoothies and coffee, fresh baked items from Bennison's.",availability,availability,availability,availability
You could really have breakfast AND lunch here!,environment,environment,quality,environment
A fun way to spend some time before checking out other things Evanston has to offer.,environment,environment,environment,environment
This is a quaint little farmers market.,environment,environment,environment,environment
I don't know what to say except to throw some shout outs to my favorite booths.,environment,quality,quality,quality
Holler at the place that sells adorable mini orchids at $15 for one or $25 for two.,environment,environment,quality,environment
Awesome Mexican stand with Tamales and tacos.,quality,quality,availability,quality
"Another place has empanadas which hello, yes please?",environment,environment,environment,environment
"And I can't forget the smoothie stop where they serve blueberry, strawberry, or mix with cider made with honey crisp apples and blended with ice in a vitamix.",availability,availability,availability,availability
The only thing is the dude spilled the smoothie all over the cup when he tried to pour it out of the blender.,environment,environment,availability,environment
"Come on, butter fingers! :p I live in Pilsen, so a small, local market I can reach easily and browse around is exactly what I was looking for.",environment,environment,environment,environment
"Reasonably priced produce (best rainbow chard I've ever seen/eaten from here for only $2 a bunch!), and several local artisan booths as well - cheese, tamales, eggs/meat, honey, jams, BBQ/hot sauces, jewelry, breads, etc.",availability,availability,availability,availability
"Really love the lady selling the lemon curd this summer, that stuff is excellent on English muffins!",environment,environment,quality,environment
"There are usually some community groups or businesses there as well - saw a dog groomer once, the Go Pilsen Initiative, local music, and so on.",environment,environment,environment,environment
I visited several times this summer and always found something to enjoy.,availability,availability,availability,availability
"Yesterday (10/26) was the last outdoor market for the season, and there was a bluegrass band playing in the morning while kids painted pumpkins at another booth.",environment,environment,environment,environment
"It may not be worth a long haul from across the city, but if you're in the area I think it adds something very cool to the neighborhood vibe.",environment,environment,safety,environment
Do not waste your time.,quality,quality,quality,quality
Worst farmers market ever.,environment,environment,environment,environment
There are 11 tents and only 3 had produce.,quality,quality,quality,quality
The rest are crafts and jewelry.The double coupon for LINK is not available here.,availability,availability,availability,availability
Since the prices are high that fact was very important to me.,environment,environment,environment,environment
I was disappointed.,quality,environment,quality,quality
I won't return.,environment,environment,safety,environment
"Agreed, it's a small Farmer's Market but still worth a visit.",environment,environment,environment,environment
I always feel great about supporting local farmers and merchants and the bonus is I get good treats to eat.,environment,environment,environment,environment
Today we stopped there after grabbing some coffee on 18th and Carpenter ;-).,availability,environment,availability,availability
"We picked up some juicy tomatoes, corn, onions, grape tomatoes, potatoes and garlic.",availability,availability,availability,availability
I also grabbed some chicken and mole and ground beef and potatoes empanadas on the way out for our lunch.,availability,availability,safety,availability
We reheated them on the panini grill at lunch time.,environment,environment,environment,environment
I also scored some fun peach jam.,availability,availability,availability,availability
"Can't wait to go back next week and try the fresh bread, pastries, vegetarian tamales and tarts.",quality,quality,quality,quality
"I figure we will take our own ""carry out"" bags to do good for the environment and take a blanket with so we can turn our Farmer's Market walk into a Sunday picnic.",environment,environment,environment,environment
Farmer's Market ends Oct. 28 for 2013.,environment,environment,environment,environment
I'm sad I didn't start going sooner but I plan on grabbing some treats from now til then.,availability,environment,quality,N/A
"Now Yelpers, listen up, do you SUFFER from Hayfever like I do??",environment,environment,quality,environment
Here's a secret to save you money and make you less miserable:,environment,environment,quality,environment
Buy local honey at this market (a bottle is $10--way cheaper than OTC Zertec or Claritin) and eat a tablespoon a day.,environment,environment,quality,environment
"Before you know it, your allergies will be gone.",quality,quality,quality,quality
Why?!,environment,environment,Non-relevant,environment
Because the bees roam around the city and pollinate from the same plants that give your that runny nose and those itchy eyes.,availability,environment,safety,N/A
Think of it as a painless immunization.,environment,environment,safety,environment
The beekeeper has her beehives right behind at her Carpenter Street house.,environment,environment,environment,environment
"If you really get into it, you can work a deal with the caring beekeeper to purchase a huge bucket for several months.",availability,environment,safety,N/A
"And the honey is BEE-LICIOUS! (yes, that was lame).",environment,environment,availability,environment
"More Good News: Gosh, what a cute cultural market!",environment,environment,environment,environment
The salespeople are so sweet and friendly.,environment,environment,safety,environment
The love for what they specialize in or do shines through in their smiles.,environment,environment,environment,environment
The market is like none of the others in the city due to its Latin American cultural roots and flavors.,environment,environment,environment,environment
"They have private, original art for sale (meet the artisans themselves), fresh vegetables, breakfast items, coffee/tea/mate, delicious-looking pastries, dog treats, and my favorite...local honey products.",availability,availability,availability,availability
They even have a great looking website (listed above).,environment,environment,environment,environment
"The Bad News: While it is VERY small (10 tents possibly), they have a great variety of local products.",environment,availability,availability,availability
Bring cash! :),environment,environment,environment,environment
The VERY Bad News: You'll have to wait until next year ;(.,quality,quality,environment,quality
"The market only runs (well this past year) on Sundays from July 27th until October 26th 9 am to 2 pm. ---- Featured in the Weekly Yelp-Chicago ""Farmers Market Almanac"" on June 2, 2009: http://www.yelp.com/weekly?editorial_id=W8Z6vofGex0KswvVq8Uxhw A small market but it really makes a Sunday afternoon very pleasant, if your just lounging around the house and don't want to drive anywhere to get local organic homemade food and pastries.",environment,environment,environment,environment
"We usually get the quiche from Beurrage Bakery, and homemade Chili pepper jam with fresh bread.",availability,availability,availability,availability
They even have a little band that plays every now and then.,environment,environment,environment,environment
"All of the reviews complain that it's small, well it is.",environment,environment,safety,environment
But It's a solid market and I'm very happy with what's available.,availability,availability,environment,availability
"The botanic gardens have a great stand with the most delicious sweet chard and kale that money can buy, for 2/3 of the price that you pay at whole foods.",quality,quality,quality,quality
"The eggs that you buy on Sunday were laid on Thursday or Friday, and there is a rather decent selection of cheeses from grass fed animals as well.",availability,availability,availability,availability
Great tamales at the tamale stand too.,quality,environment,environment,environment
And wheatgrass shots!,environment,environment,Non-relevant,environment
A cute farmers market if you are in the area.,environment,environment,environment,environment
I wouldn't make a special trip to this market if not in the area though.,environment,environment,environment,environment
It is very small (like 5 booths).,environment,environment,environment,environment
I thought the prices were pretty reasonable for a Chicago farmers.,environment,environment,environment,environment
"In the end, I really wanted to like this market, but it did not succeed.",environment,environment,environment,environment
"Hopefully, it will continue to grow.",quality,quality,quality,quality
It was a bit smaller than I expected and there wasn't much variety but I still snagged some good items.,availability,availability,availability,availability
To be fair I went about an hour before closing so I don't know if there were more vendors before I arrived.,environment,environment,availability,environment
"Small market, but worth the trip.",environment,environment,environment,environment
They have a little bit of everything and you won't be fighting for things like eggs.,environment,environment,availability,environment
"Seriously, I love larger markets too, but they sell out of eggs in a matter of minutes!",environment,quality,environment,environment
This market is small and quiet and just what I need.,environment,environment,environment,environment
"This is not a huge market nor particularly cheap, but they have venders selling fresh fruits, jams, and tamales and other stuff alongside tables with used books, DVDs, and key chains.",availability,availability,availability,availability
Sometimes I wish it were a little more packed with people so it didn't feel like every vendor was watching anxiously as I round the parking lot checking others out.,environment,environment,environment,environment
"But it does kinda' feel like it's my own market, like I'm a king with everyone waiting to serve me ;) And luckily the booths are run by super nice people so I always leave with goodies knowing I'll be back too.",environment,environment,environment,environment
"Not sure if I would make trips from across town for such a market, but if you're like me and live in the hood, it's well worth walking out your back door in pajamas to pickup Sunday morning brunch items and a used DVD of [insert 80s movie here].",environment,availability,environment,environment
This is by no means a bad review.,quality,quality,quality,quality
"Being a young market, not even 3 years old, it's very grassroots at this point.",environment,environment,environment,environment
You'll see things here that you wouldn't see at a larger market such as used books for sale and people literally selling produce out the back of their truck.,environment,quality,environment,environment
"I was surprised to see a vendor selling grass fed beef so I bought some hot dogs, skirt steak, and a chicken.",quality,quality,availability,quality
I also found some very dark honey which made me think of Guiness beer so I had to have some.,availability,quality,availability,availability
I hate to admit this but the variety isn't quite there to convert me as a regular.,availability,availability,availability,availability
I feel great supporting this market in it's early stages but I would love for it to grow into something larger that offers up much more options.,environment,environment,environment,environment
"For now, I'll do my best to attend every so often during the warm summer Sundays.",environment,availability,availability,availability
The Pilsen Market was launched in July '08 and I am one happy little customer.,environment,environment,environment,environment
"Every Sunday brings an assortment of arts and crafts, fresh produce, tasty coffees, and flowers to the Pilsen neighborhood.",availability,availability,availability,availability
I picked up some delicious honey made by a beekeeper that lives down the block.,quality,quality,quality,quality
"Soy Organic market is there with delicious teas and local bakers present an assortment of cookies, cakes and breads.",availability,quality,quality,quality
Thinking about it is making me hungry!,environment,quality,quality,quality
"You can find a great mix of local businesses and artisans, including a clothing designer and my pal Tiffany, who makes silkscreened tea towels and napkins.",environment,environment,availability,environment
It runs every Sunday through October in the bank parking lot at 18th Street and Halsted.,environment,environment,environment,environment
Get there early for the best produce selection and don't forget your reusable bag!,availability,availability,availability,availability
I really enjoy going to the farmers market every sunday with my boyfriend and dogs.,environment,environment,environment,environment
"Although we are in walking distance, there is tons of free street parking.",environment,environment,environment,environment
Dogs are welcome and the vendors rock.,environment,environment,environment,environment
"We really like the amish cheeses, grass fed beef and next week I will probably try apple butter.",availability,availability,quality,availability
I wish that it was a little bit bigger because I love being able to support local and small businesses.,environment,environment,environment,environment
I think more people should come on out and enjoy the market!,environment,environment,environment,environment
I'm proud of this lil market.,environment,environment,environment,environment
"Great veggies/fruits, nice folks/organizers, soy tamales, jewelry, and music. pls volunteer if you could, i did last year. this is just the beginning, they will grow fo sho.",environment,environment,environment,environment
"As a committee member and vendor, I would like to invite everyone to our 2009 Opening Day on June 14.",environment,environment,environment,environment
"Visit our new website for more details. pilsencommunitymarket.org This is a beautiful, wonderful thing to have so close to home.",environment,quality,availability,N/A
"I bought some honey, cheese, raspberry jam, a variety pack of mushrooms, some green beans and green peppers.",availability,availability,availability,availability
Happy to support local folks and super-glad to have this available so conveniently.,environment,environment,environment,environment
"Lots of folks will give out samples, too.",environment,environment,environment,environment
"Cheese, fudge, honey, jams, salsas.",availability,availability,availability,availability
Yum.,quality,quality,availability,quality
We love coming over for the excellent produce.,quality,quality,quality,quality
The other vendors have great offerings but the veggie truck in the back is our main shopping destination.,environment,environment,availability,environment
"Yes, I know.",quality,quality,quality,quality
Tiny.,availability,environment,quality,N/A
But solid.,environment,environment,Non-relevant,environment
There is now a booth selling produce from Michigan as well as one from Illinois.,quality,quality,availability,quality
"Michigan is cheaper, but, call me biased, but the IL one has some better produce.",quality,quality,quality,quality
I love the IL tomatoes.,availability,availability,availability,availability
I am permanently turned off of grocery store tomatoes.,availability,availability,quality,availability
"Once fall hits, I'm only doing organic tomatoes, as those are the closest ones to IL's awesome ones.",quality,quality,quality,quality
"They also have green tomatoes, which I have been hard-pressed to find in Chicago.",availability,availability,availability,availability
The IL peaches are awesome too.,availability,quality,availability,availability
The blueberries from Michigan are a better deal.,environment,environment,quality,environment
"Sometimes, people who sell vegan baked goods come.",quality,quality,availability,quality
I like the choco bars and the vegan teacakes.,environment,environment,quality,environment
"I can't recall the names of the businesses, but there were only two who had any Vegan baked goods, so you'll know them when you see them.",quality,quality,availability,quality
"The mushroom people have good salsa (but it doesn't taste ""Mexican""). The Indiana tent had some cheap cilantro, but their cherries were from Washington (WTF?).",quality,quality,quality,quality
"Other places come to sell their wares, jewelry and whatnot, but I always come for the produce.",environment,quality,quality,quality
"A man selling used books was there for awhile too, which was neat (75% off list price).",environment,environment,availability,environment
"It might be a little pricier than Dominicks, Pete's, Cermak Produce, etc, but for certain foods, it's worth it.",environment,environment,availability,environment
"It's a tiny speck, like this...",availability,environment,quality,N/A
( .,environment,environment,Non-relevant,environment
) More please.,environment,environment,environment,environment
Close to home though.,environment,environment,quality,environment
You can do it!,environment,environment,Non-relevant,environment
Grow big!,quality,quality,quality,quality
I'm so happy there is now a farmers market that I can walk to!,environment,environment,environment,environment
Just a two minute walk and I am greeted with several produce stands as well as a few other food vendors.,environment,environment,availability,environment
"I know this is a growing market - if you know vendors, get them to sign up and sell here!",quality,quality,availability,quality
It's a great location!,environment,environment,environment,environment
I love that the produce is all fresh and in season items.,quality,quality,availability,quality
I bought a giant onion today for $1.,availability,quality,quality,quality
I hope that some meat vendors will come out and sell some naturally raised products before summer ends.,availability,availability,availability,availability
"This is the best, most local farmer's market you'll find.",environment,environment,environment,environment
"If it's not in season, you likely won't find it here.",availability,environment,availability,availability
"Also, if you're not an early riser (8/9am at the latest) you'll miss out on everything that's good and be left picking through the leftover scraps.",availability,availability,availability,availability
There are a bunch of a meat vendors.,quality,quality,availability,quality
"The guy from Ashland, IL has every kind of pork product known...if he's there!",quality,quality,quality,quality
"You can also count on getting almost any sort of Midwestern baked good you might want (if it involves a fruit, you'd be better off buying that baked good when that fruit is in season.)",availability,availability,availability,availability
They have a table at the main intersection where you can buy tokens with a credit card so that you don't need to hit an ATM before heading to this market.,environment,environment,environment,environment
I know it's early in the growing season but really nothing offered was worth the trip.,quality,quality,quality,quality
Garden plants looked like they came from Lowes...marked up and pathetic.,environment,environment,quality,environment
One food truck but not appealing.,environment,environment,quality,environment
I know that you cannot compare this to San Diego farmers markets but really...I couldn't race out of there fast enough.,environment,environment,environment,environment
Repackaged produce from Sams...no fresh strawberries...no fresh lettuce greens or flowers in season.,availability,availability,availability,availability
Parking problems and closed roads...crazy.,environment,environment,environment,environment
"How about jams flowers food trucks and holistic goodies like candles scented oils herbs and jewelry, baked goods...bread brownies cookies.",availability,availability,availability,availability
Don't even bother.,environment,environment,availability,environment
"We were in town to see all the Lincoln sites, but it was Saturday morning, so we made a special trip to see the local farmers market.",environment,environment,environment,environment
"Super nice vendors and great variety of local veggies, baked goods, flowers, cheeses, potted plants, meats, etc., etc. in a three block area downtown adjacent to the Old Capital.",availability,availability,availability,availability
"Even if you're a visitor, there's much to be had.",environment,environment,availability,environment
"We had some wonderful blueberry coffee, and purchased a homemade brownie, cookies and bread, popcorn, and cheese to take with us for lunch and snacking.",availability,availability,availability,availability
"The made to order omlets smelled marvelous, but we'd already had breakfast at the hotel.",availability,quality,quality,quality
In spite of the rain it was a worthwhile stop.,environment,environment,environment,environment
Support your local farmers market - even in you're in town site seeing!!,environment,environment,environment,environment
My family and I happened upon this farmers market a couple Saturdays ago when we were driving through Springfield.,environment,environment,environment,environment
"It was GREAT! 3 blocks, lots of fresh produce (greens, tomatoes, cherries, mushrooms), delicious cheese, flowers, omelets, coffee, and the day we were there, there was pizza too (it was mobile pizza oven with super fresh pizza ingredients ... not sure if it's there all the time though).",quality,quality,quality,quality
"It was a bit crowded, but I was glad of that - there was plenty of good fresh produce to go around!",quality,quality,quality,quality
Old Capitol Farmer's Market..,environment,environment,environment,environment
What to say?,environment,environment,safety,environment
What to say?,environment,environment,safety,environment
This was a great start to my Saturday morning!,environment,environment,environment,environment
The farmers market was not that big but each vender brought something unique to the market.,environment,environment,environment,environment
It was very conveniently located down from the Old State Capitol.,environment,environment,environment,environment
This was nice as I was a tourist and could easily venture to the Old State Capitol as well as the New State Capitol after visiting the market.,environment,environment,environment,environment
The reason why I gave Old Capitol Farmer's Market 4 out of 5 stars is because it is a smaller farmers market but it was worth the visit and I would go back.,environment,environment,environment,environment
"Terrific produce, baked goods, and cheese!",quality,quality,availability,quality
I have been waiting for this Farmer's Market to open for months.,environment,environment,environment,environment
Today it finally opened and I have to say that it is truly a dismal failure.,environment,quality,quality,quality
By 11:00 they ran out of strawberries (the only fruit present).,availability,availability,quality,availability
Most of the fare was lettuces and raddishes.,environment,environment,availability,environment
The lettuce looked limp for the most part.,availability,environment,safety,N/A
"The radish looked good and so did the zucchini, yellow squash and green onions.",availability,availability,availability,availability
I bought a tomato and some zucchini.,availability,availability,availability,availability
"The tomato is pretty good, haven't cut the zucchini yet.",availability,availability,availability,availability
"I also bought some lemonade - save your money, it wasn't that great.",environment,environment,quality,environment
"Honestly, this is the absolute worst farmer's market I've ever seen.",environment,environment,environment,environment
"There was no corn on the cob roasting, no smoke fish and no fruit or vendors selling soy candles.",availability,availability,availability,availability
"The lady who sold me the lemonade, explained that they were all ""local"" growers.",environment,environment,availability,environment
That's fine but they should really consider expanding and letting some other farmers come in and add some variety.,availability,availability,availability,availability
"They can always put a special sign up on the stands that are in fact ""locally"" grown produce.",quality,quality,quality,quality
What they have now is a complete waste of time and not worth patronizing.,quality,quality,quality,quality
Just sayin...,environment,environment,Non-relevant,environment
Green City Market is as good as advertised.,environment,environment,environment,environment
I've been going for the past 7 years and its fantastic to see how much it's grown.,quality,quality,quality,quality
Simple things to know The fruit and vegetable selection will change throughout the summer.,availability,availability,availability,availability
It's better to go early so that you have the best selection.,availability,availability,availability,availability
And order your pizza first before the line gets long.,availability,environment,environment,environment
"The market features amazing vendors that dish up other tasty favorites - grilled cheese, bakeries, veggies, flowers, meats, cheeses, dairy, basically anything that you'd prefer fresh and locally grown.",quality,quality,availability,quality
"Fun date idea to meet here, buy all your supplies for a meal, and then go home and cook all that goodness up!",environment,availability,quality,N/A
We love the Green City Market!,environment,environment,environment,environment
"This is a great place to spend your Saturday morning on a nice day and pick out fresh produce, fresh herbs, and grab lunch!",environment,quality,quality,quality
I always come here to pick up local honey (from Chicago Honey co-op) and hot sauce (from Bushel & Peck's).,environment,environment,quality,environment
Also the famous Raclette cheese sandwich is worth the trip every time.,quality,quality,quality,quality
AND its pet friendly.,environment,environment,environment,environment
I am sad to see the outdoor market come to an end this month but I am very much looking forward to the indoor market experience.,environment,environment,environment,environment
I love the Green City Market!!!,environment,environment,environment,environment
I myself am extremely bias of the produce that comes from Michigan.,quality,quality,quality,quality
"If you didn't know, Michigan has phenomenal soil that creates wonderful horticulture and produce.",quality,quality,quality,quality
"In the fall you have wonderful apples, in the summer you get delicious cherries and blueberries.",quality,quality,quality,quality
Green City Market is where I go to get my true taste of Michigan produce.,quality,quality,quality,quality
"It also features amazing vendors that dish up other tasty favorites - grilled cheese, bakeries, veggies, flowers, meats, cheeses, dairy, basically anything that you'd prefer fresh and locally grown.",quality,quality,availability,quality
I typically leave with more than I planned for and end up cooking a delicious meal right from scratch.,availability,availability,quality,availability
One of my favorites is the raclette cheese stand - they melt raclette cheese onto French baguettes with hot lamps....so good!,quality,quality,availability,quality
Pro Tip - come with $20 in cash and try to form your own recipes with just the $20!,environment,environment,environment,environment
"Very, very nice farmer's market.",environment,environment,environment,environment
"Tons of fresh produce, and handmade food products like honey and syrup.",availability,quality,availability,availability
"There are a few good vendors as well offering up some delicious pastries, pies, tamales, wood fired pizza etc. definitely worth a visit.",quality,quality,availability,quality
If you're in the area it would be a great way to get something fresh for those Sunday dinners.,environment,quality,quality,quality
Awesome farmers market with great produce!,quality,quality,environment,quality
Check the seasonal calendar to know what type of vendors to expect when shopping for your fruits and veggies.,availability,availability,availability,availability
"You can always count on the delicious cheese, apple cider donuts, crepes, flowers, jams, and grilled cheese and raclette!",availability,availability,availability,availability
"It's fun to buy random items for your fridge, but I've found it best to check out what's in season in advance and come ready to shop to make a nice fresh meal for dinner.",quality,quality,quality,quality
"Most produce is fresh and driven in that morning from Michigan, so it can't be beat.",quality,quality,quality,quality
What a great start to our Saturday morning while visiting Chicago.,environment,environment,environment,environment
Now downside is parking is horrible but we are in a big city.,environment,environment,environment,environment
Growing up and spending several summers in Europe I've come to not only admire but truly love farmers markets.,environment,environment,environment,environment
There's just something about vendors on vendors selling items they've come to perfect.,availability,availability,availability,availability
Now the produce selection wasn't huge like the markets in Europe but it was enough.,availability,availability,availability,availability
And if you're used to farmers markets that sell homemade crafts this is not the market.,availability,availability,availability,availability
But food!,quality,environment,safety,N/A
They sold tons of food both fresh and hot goods.,quality,quality,availability,quality
This is a market to definitely check out if you're ever downtown Chicago.,environment,environment,environment,environment
Come hungry and leave full.,availability,environment,safety,N/A
Another plus is you get to enjoy live music while sitting in the lawn or even just walking around.,environment,environment,environment,environment
A spectacular Farmers Market located in Lincoln Park!,environment,environment,environment,environment
"A plethora of fresh food from independent sellers, a handful of hot food and pastry vendors, and a great way to spend a weekend morning!",environment,environment,availability,environment
"Crepes, carnitas & cookies stand, the most amazing looking croissant breakfast sandwich, made to order pizza, excellent mini burgers, smoothies, grilled cheese & more!",availability,quality,quality,quality
"Do not pass up the Jambon Baguette with ham, pickle, and Dijon.",quality,environment,availability,N/A
It's a spectacle to watch them make it.,environment,environment,environment,environment
They have a huge Cheese wheel under a heater and they melt the cheese right off onto the bread!,availability,availability,availability,availability
"A few negatives are that there are not enough drink options, no tables to eat or sit, and 2hr parking was advertised for $10 with validation in the lot next door but it actually costs $16.",availability,availability,environment,availability
"Overall, very busy, lots of hussle and bustle, dog walkers abs baby strollers everywhere, a quaint Market with lots of tents!",environment,environment,environment,environment
"I've been to the West Loop location but it doesn't compare in size, variety, or hot food vendors.",availability,availability,availability,availability
There's also a location at Park at Wrigley.,environment,environment,environment,environment
Def experience it while the weather is nice!,environment,environment,environment,environment
Love the market but I will never buy flowers there again.,environment,environment,environment,environment
"Bought these beautiful flowers yesterday at the tent at the southwestern corner of the market and they are all droopy and dead already...not happy , especially because prices at the market are not the cheapest.",environment,environment,environment,environment
"This is a great Farmer's Market, especially that it is so close to the Zoo and great foods around the area!",environment,environment,environment,environment
The apple cider donut in this market is phenomenal!,availability,environment,availability,availability
"The fruit, vegetables and flowers here are beautiful too!",availability,availability,availability,availability
Love the vibe and location.,environment,environment,environment,environment
Will frequent this market regularly!,environment,environment,environment,environment
This market is fantastic!,environment,environment,environment,environment
It's a must do in the summer.,availability,environment,availability,availability
Grab a pastry or some other tasty treat and wonder through all the goodies.,availability,availability,availability,availability
The flowers are wonderful and of course any of the produce.,availability,quality,availability,availability
My must-do at the market is getting a pastry from Bennison's.,environment,environment,environment,environment
They're the BEST danishes in the city!,environment,environment,quality,environment
But you can't go wrong with any of the food vendors.,environment,environment,availability,environment
"When it's warm/dry, bring a picnic blanket and enjoy lunch at the market!",environment,environment,environment,environment
I could not have planned my trip to Chicago and hotel location better.,environment,environment,environment,environment
"When I awoke and opened the hotel room curtains, I was pleasantly surprised to see a large farmer's market!",environment,environment,environment,environment
It's a beautiful location in the park between Clark and Lake Shore.,environment,environment,environment,environment
Over 50 vendors and almost all had a sample of some kind (did I mention I love free samples?).,environment,environment,environment,environment
"Produce, flowers, cheeses, meats, prepared foods, and other specialties.",availability,availability,availability,availability
I loved the melon stand that had over a dozen varieties with a self-serve sample set up with a melon baller at each one.,availability,availability,availability,availability
Who knew there were so many melons?!,availability,quality,availability,availability
"The jams and pickles were good too- sweet, spicy, or a nice combo (raspberry habanero was particularly good- sweet and tart up front with a slow, warm heat to finish).",availability,availability,availability,availability
"After living in Lincoln Park for 6 years, I finally ventured out here.",environment,environment,environment,environment
