No.,Tweet,Label,Words,Notes,Contributor
232,"Why do so many cities have ""Farmers Markets?""  Its not like farmers reciprocate with ""Urban Markets"" with a whole bunch of things made by city dwellers like crack and a bunch of stupid Etsy crap.  Trump should hit them with tariffs until unfair urban/rural trade imbalance fixed.",economics,"Trump, tariffs",,
233,"#Elmhurst Its gross that any kind of politics are allowed at the #farmersmarket
This should be a politics free zone .",environment,"zone, politics",,
234,"@jalaffler @Boulevard_Beer Like anything you buy, trust the retailer of the product. If you buy beef from a butcher at a farmers market, do you blame the cow? No you blame the butcher who sold it to you. Buy any product, from a source you trust, liquor store, wine shop, cheese shop, etc.",quality,,,
235,"@WoodlawnWonder Yeah I don’t see a competing farmers market as a threat. And the vendors choosing to leave speaks volumes. I get that a CBA is wanted, but I’m still not hearing a sound argument. I am certain there are aspect of this I’m missing, and I want to learn them.",economics,"competing, vendors, threat",,
236,went to white rock farmers market & a white guy told me his pottery studio was in oak cliff.  i asked him what party & he said “well not really oak cliff-clarendon & hampton”  now i’m confused as to where he think oak cliff ends 🤔,NR,,,
237,Farmers markets are my shit,quality,my shit,,
238,"Average modern liberal: TRUMP DIDN'T SIGN PARIS AGREEMENT & IS LOWERING STANDARDS ON ENVIRO-FRIENDLY CARS

Also average modern liberal: drives or Ubers everywhere, can't bother w/farmers' markets or growing own food, annoyed w/taxes on reusable bags, never brings own coffee cup",NR,,,
239,@FreyDrew They have frozen ones at our farmers market and they’re absolutely absurd.,availability,have,,
240,"tfw you drive your chrysler pacifica into the center of the local farmers market and still need a bag for your single cucumber and package of raspberries but can't be bothered to pick them up and save them, they are garbage and have been sentenced to The Vacuum https://t.co/X9rh7rPiaN",convenience,"bothered, still need",,
241,i’ve been going to the farmers market every weekend for a couple months and my quality of life has drastically improved,quality,quality,,
242,WHO do i have to F*CK at this farmers market to get some frig*en napa cabbage?! 😤😡🤬,availability,"get, napa cabbage",,
243,"@bryanbinaxas @twymannnn @aniyarenee @FeelRiteMarkets Did you know that the program, SNAP, that allows people to use their benefits at farmers markets will no longer be able to do so after August? So even if poor people could make it to a market, they can no longer afford to shop there?",economics,benefits,,
244,"@theworstkirst @tictoc And if it isn't? Shop locally grown. I don't know of all the farmers markets/farms in McHenry County alone, but there's so many and yet Crystal Lake just got a new grocery stores that's not even bulk friendly. Unnecessary things like this",convenience,"Unnecessary, so many stores",,
245,@sprucewolf @BenDoernberg @wmhilton @buritica @taylor_atx these places may exist but they're way harder to buy from? Like I live in a major metro area and have no idea where farmers markets are and don't feel like waking up at 7am on a Saturday to buy produce anyway.,convenience,"waking up, don’t feel like",,
246,"I had an ideal day

1. Farmers market
2. Solo the point
3. Dinner party with fri3nd I haven't seen in so so long and also new c0ol people
4. I'm wasted he he what a good day",NR,,,
247,absolutely wired on coffee looking to fuck up the nearest farmers market,NR,,,
248,@Ballpit_Gangsta Next are the sage smudge sticks to burn in your home.   Great for cleansing bad energy or so I hear.  Actually they sell them at my local farmers market and I should try them.,availability,sell them,,
249,Going to the farmers market and watching the crappy vendors glare at the vendor with the long line and the good veggies is the highlight of my weekend.,environment,long lines,,
250,"No way, this dude just tried to sell me some artisanal small batch honey at the Farmers Market.",availability,sell,,
251,@Chase Please stop giving me $100 bills in the ATM. I am not going to communion parties in August and most farmers’ markets can’t break a hundo. #foreigncurrency,convenience,can't break,,
252,"Camden Farmers Market on #Yelp: Update 10/2/18 
This place has gotten terrible with security. Almost every day ther… https://t.co/nXBNogsftK",environment,gotten terrible,,
253,Some markets in Illinois will no longer be able to allow people to buy their produce with LINK cards. https://t.co/HpJD5QqZYL,convenience,,,
254,"Yall can pretend to hate black ideologies & shit if yall want. Pretend our group thought is toxic & all of that. Instead of shitting on a mf b/c u learned what being a vegan means, found your nearest farmers market & bought a ninja off Amazon, you should try & help solve shit.",NR,,,
255,i’m trying to pick out just one recipe to make with shit from the farmers market bc if i go in without a plan it will be the End of me,NR,,,
256,"First order of business today: 
Stopping at the farmers’ market in Daley Plaza to buy a pecan roll that’s as big as my face.",availability,pecan roll,Also quality,
257,Do you like Farmers’ Markets? Do you like to talk about  the local Real Estate Market? Stop by Coldwell Banker’s tent at Winnetka’s Farmers’ Market this Saturday at Village Hall on Green Bay Road from 7:30-10 AM and meet Broker Joan Conlisk!,NR,,,
258,i remember years ago when i graduated college i signed up nextdoor thinking i'd find out about a farmers market or some shit and i banned immediately for calling everyone on there cops,NR,,,
259,Hurting the poor and farmers with another questionable federal contract.  https://t.co/2wrWcmVG0V,economics,poor,,
260,my brother doesnt wanna go to the local farmers market what the fuck is wrong with him I WANNA BUY SOME FRESH VEG U ASSFACE,NR,,,
261,"I only buy locally sourced/grown weed from my local farmers market. I won’t touch bud if it’s not gluten free, dairy free, whole range marijuana cigarettes. Stop buying wholesale from shady spots and #ShopLocal",quality,"locally, sourced, gluten free, dairy free",,
262,@MatchboxGinny Nooooooooooo shut upppppp but also yes there is a farmers market and I’ll probabiy go get some pastries,convenience,,,
263,"@waltshaub Attack on the poor begins. After July 31st, SNAP/FOOD STAMPS can no longer be used at the farmer's markets...

https://t.co/SkupRSQ3ke",economics,,,
264,Went to the farmers market once and now I’m ready to be obnoxious about it for the next 6 months,NR,,,
265,"Since law prof summers continue to be of interest: today I went to the gym & the farmers’ market. I bought berries from Michigan. Pretty good. After that, I went to Starbucks. The barista seemed agitated. “Was he thinking about Brett Kavanaugh,” I wondered?  I regret not asking. https://t.co/rIQdoAs1kM",NR,,,
266,Marijuana ‘Farmers Markets’ Won’t Happen In California Yet After Bill’s Failure - https://t.co/Mr0zS4lmZ0,availability,Marijuana,,
267,"Lol, we can say names, too. Bob, Lenny, Sue, Pam. Heres one for you, Brandon Styza. Tell your boy to pack up his goat cheese kiosk at the farmers market and bounce cuz business aint gonna be looking too good. Fucking farmers markets? Really? 🙄",economics,business,,
268,"Just sat bolt upright in bed and whispered “Farmers market!” to no one. It’s summertime, queers.",NR,,,
269,just went to the farmers market because I’m a HUGE fan of frustrating crowd behavior,environment,"crowd, frustrating",,
270,Also at today’s farmers market I overheard this remark from a vendor complaining about this week’s LSD protest: “I just don’t get it. What does protesting accomplish? Protesting has never accomplished anything!” 🤦🏻‍♂️,behavior,,,
271,not every neighborhood without a gate around it & a farmers market every weekend & shit is the hood lmao ur ugly as hell if u think like that,environment,neighborhood,,
272,@thistallawkgirl No one had spicy peppers at the farmers market. How am I supposed to burn out my colon now?!,availability,"spicy peppers, had",,
273,Progressives hate Capitalism and love Socialism but they love farmers markets (capitali$m) and hate WalMart (what Socialism ends up looking like).,economics,"capitalism, socialism",,
274,"Venmo, cash app, apple pay etc are about to become the main source of payment in a couple years. Imagine how many companies or businesses could profit off this right now. Hell even farmers markets or a garage sale",NR,,,
275,thank you past me for being terrible at putting stuff away. definitely forgot I bought strawberries at the farmers market yesterday and now they are at work with me https://t.co/E2u40h0WxV,NR,,,
276,"Just to show I walk the walk, here’s my haul from the farmers market this morning.  I was shopping hungry after my long run but my meals will be tasty this week!  Some of the berries didn’t make it home.  My cat is not impressed. https://t.co/tVAkVTqr2K",NR,,,
277,"@jbillinson Nothing in a can is better than fresh.  Avoid the aisles.  If it doesn’t rot in a can or a box, those chemicals rot you.  #FarmersMarket #BuyLocal",quality,"BuyLocal, rot",,
278,If you don’t like farmers markets you can gtfo my life,NR,,,
279,"I got dis cute little affogato and den I spilled it cause I'm terrible. 😂 @ Original Farmers Market, Los Angeles https://t.co/77HnUQ5Rqw",NR,,,
280,Watching the Guess Farmers Market video only makes me more sad that I wasn’t 😢,NR,,,
281,"Run out of salad at the farmers market, fuck this. #thinkhomewood",availability,run out,,
282,"@eveewing When @iamranaahmad and I were leaving Paris, an airport security dude took out our just-purchased--as-gifts-at-the-French-farmers-market jams, looked us dead in the eye, held the jars above a trash can before declaring ""IN ZE GAAARBEJ!"" It's been a year, im still pissed.",NR,,,
283,@deviousjen I was anticipating waiting room hell and it was only half an hour. Still went over to the farmers market and now I have a crepe,NR,,,
284,Village Offices are closed and garbage pickup will be delayed by one day. The Farmers’ Market will return July 11th. Happy Independence Day! https://t.co/59ricm8XOz,NR,,,
285,the downtown farmers market sux,quality,sux,,
286,@james_p_simpson So you're arguing that the genetic modification that donna from that 70s show is avoiding by going to a farmers market has been around for hundreds of years?,quality,genetic modification,,
287,"Went to farmers market, deep cleaned my house, did the laundry, took a bath and did a face mask, lit a candle and am in bed by 9:30. When the fuck did I get so old.",NR,,,
288,bought an apple pie at the farmers market even though i hate pie just for the sake of f a l l 🍂,availability,apple pie,,
289,they aint got no plants at the farmers market only cut flowers smh im Pissed,availability,"aint got, only cut flowers",,
290,"i'm very lonely in dekalb but still much happier than i was in chicago. tomorrow i'm going to the farmers market, i've started doing yoga, i've finally made a dent in the World's Largest Laundry Pile, i keep up with my housework, like wow depression? i don't know her",NR,,,
291,"@johnpavlovitz Attack on the poor begins. After July 31st, SNAP/Food stamps can no longer be used at the farmer's markets...

https://t.co/SkupRSQ3ke",economics,poor,,
292,I bought some cookies from these Amish motherfuckers at the farmers market. They’re shit. I’ll never buy another Amish baked good in my life.,quality,"never buy, shit",,
293,"@realDonaldTrump The only time farmers markets are closed is when a idiotic narcissist such as yourself, inserts his fat, low IQ ass in the middle of it. 6 bankruptcies, affairs while married, great embarrassing job Bonespur! Corn farmers get 1 cent/bushel, that is a SAD job 🤬",convenience,closed,,
294,@kofchicago I was so sad there were no farmers markets last weekend but I’m really looking forward to independence park’s!,NR,,,
295,i just found grain free granola at the farmers market don’t even talk to me when i’m back on my gluten free shit baby,quality,"gluten free, grain free",,
296,Nothing gets my dick hard like shopping at a farmers market,NR,,,
297,Shitty weather on farmers market days should be illegal,environment,"shitty, weather",,
298,"I'm at Fresh Thyme Farmers Market Downers Grove - @freshthymefm in Downers Grove, IL https://t.co/hAbreex14q",NR,,,
299,"Important piece of wisdom (don't know why I've waited so long to share): Unless you have access to very high quality buttermilk from a farmers market, you should be substituting plain kefir (1 for 1) in all recipes calling for buttermilk.",quality,quality,,
300,@gomer1 @gomer2 Finished Madison Mini Marathon and at farmers market. My wife wants me to stop talking about the cheese bread. All your fault 😂,NR,,,
301,Community Food Waste Programs Make Good Fit for Farmers’ Markets https://t.co/V2LVJT2q7r,environment,"good, fit",,
302,"Ok, so your like wtf? Then. Sure go to a farmers market... Its so over priced its comical",economics,overpriced,,
303,@PGdadTV @Eagles @phillydotcom @CBSPhilly @PhillyMayor @PhillyDailyNews @PhillyInquirer I think the real crime here is the one committed by Amber. She is smothering a minority with her whiteness. Have you ever seen a Latino at a Amish farmers market? She's replacing his vibrant minority diversity with her bland white homogeneity.  Shame on you :(,politics,,racist politics,
304,"Oh, what have I done today? Fucked around and woke up from a deep slumber. Tried to hit up a renaissance fair but accidentally went to a farmers market. Then I went back to bed. Then I fucked around and laid in bed for a while. Now I’m going to fuck around and go to bed",NR,,,
305,Now is our time to put our money where our values are. Go to your local farmers markets and then go see where your food comes from from each of these farmers. Sadly some farmers are not of the integrity level that we assume if they have organic signs. Absolutely eat local!!,quality,local,,
306,Working the farmers market for over 10 years I get my fair share of interesting questions. Today I had a lady ask me if we had oranges. I looked at her and told her oranges cannot be grown in Illinois. She was not happy with my response.,availability,"had, oranges",,
307,tried oat milk for the first time today at my neighborhood’s farmers market coffee bar and FUCK i see the hype,quality,hype,,
308,Unfortunately the weather has decided to be wet.....so we will not be attending the Jefferson St.  Farmers Market today. Sorry folks.,convenience,"weather, wet",,
309,"hearts to the the people doing Gods work at The Plant farmers market in Chicago, directing people on how to throw away trash/compost/recycling. https://t.co/8c8QwK8jeg",environment,at,,
310,"@seanhannity It's chronic in socialism. Russia 70' and 80' had no meat any kind in food stores, only on farmers markets and not everywhere

Crimea had terrible water supplies, pple couldn't take regular shower. Now it's even worse

Toilet paper was a luxury, very rare item  to find in stores",NR,,,
311,"Killing it with the topical references.  

Also if you invited Gallagher to a farmers market he'd just do a loose hour calling everyone there commies and queer. https://t.co/cK5Vd11tI4",NR,,,
312,i just accidentally spent $9 on peppers at the farmers market smh,NR,,,
313,B and i are going to the farmers market and the arboretum tomorrow and i’m so afraid that my anxiety is going to ruin the whole day.,NR,,,
314,Big ups to the dude who just rolled into this farmers market in the Good Look of faded Morbid Angel shirt tucked into shorts + socks\sandals combo.,NR,,,
315,at the farmers market doing hoodrat shit with my friends,environment,hoodrat,,
316,@glorbis OMG there is a farm that is at some of the farmers markets that primarily sells apples. They will force you to eat samples of their patented cotton candy apples & unfortunately my face does not have the proper filter to avoid displaying the disgust I had upon biting into it. o_0,quality,disgust,,
317,My grandmother went to her first farmers market today. She complained about the crowds and strollers and dogs and she said “and everything is more expensive than the Jewel!”,environment,"crowd, strollers, dogs",,
318,But then I’m like oh yeah the east side is kind of the worst and know I love farmers markets,NR,,,
319,"I bought four herb plants at the Andersonville farmers market last night, and so this morning I've been googling things like ""How do I keep basil alive?"" and ""What the fuck am I supposed to do with this sand?""",NR,,,
320,Racist rant?! Woman berates customer at Trenton Farmers Market https://t.co/5D56jTEHvz via @YouTube,behavior,,,
321,I need a puppy or another farmers’ market ASAP. Everything is still awful. Maybe worse.,NR,,,
322,@sadafies i spent all fkn day selling tomatoes at the damn farmers market and i can absolutely confirm:  i did it,NR,,,
323,"I need friends that actually want to go do shit with me, let’s go to the farmers market & hiking & just not be inside all day long",NR,,,
324,"Just because the weather has gotten color, doesn't mean you should forget about your local #farmersmarket . Just ask our friend Janie Maxwell of @ILFarmersMkts : #recipe #tomatoes https://t.co/5h7BHBazni",NR,,Business,
325,Organic & non-GMO is a scam now and always will be a scam. You wanna know what you’re eating? Buy from your local farmers at a farmers market. BTW Invest in your local farmers and watch your local ecomy grow.,quality,local,economics,
326,"Farmers' market treasures: basil, chard, cilantro, corn, methley plums, tiny potatoes, big tomatoes, tiny tomatoes, and a pot of thyme to replace the sad pot in my kitchen, which replaced the pot I killed last year.  Third thyme's the charm?",availability,"basil, chard. Cilantro, corn, methley plums, tiny potatoes, big tomatoes, tiny tomatoes, thyme",,
327,Scary shit... go to a farmers market stay out of the grocery stores,NR,,,
328,I stopped using emojis because I sent the 🍆 to everyone when I wanted to go to the farmers market not knowing it represented a penis. #WorldEmojiDay,NR,,,
329,"2 things husband said to me last weekend that I'm still LOL'ing but also WTF'ing about:
1. That's what you're gonna wear? 
(we were about to ride bikes to the farmers market, I was wearing clothes)
2. You don't know how temperature works! 
(I complained about our cold bedroom)",NR,,,
330,"Average modern liberal: TRUMP DIDN'T SIGN PARIS AGREEMENT & IS LOWERING STANDARDS ON ENVIRONMENT-FRIENDLY CARS

Also average modern liberal: drives or Ubers everywhere, can bother w/farmers markets or growing own food, annoyed w/taxes on reusable bags, never brings own coffee cup",economics,Trump,,
331,"@RepAdamSchiff  Attack on the poor begins. After July 31st, SNAP/FOOD STAMPS can no longer be used at the farmer's markets...

https://t.co/SkupRSQ3ke",economics,poor,,
332,"@davidstassen Yes, farmers markets are the worst and should not exist.",NR,,,
333,We all need to eat fruits and vegetables - even people who can’t afford it - why does Trump hate the poor? https://t.co/xddF88gEq5,economics,"afford, poor",,
334,"@pablitasan @NutmegRadio Factory farming, using the same bland corn based feed. Same reason eggs taste like shit. Gotta raise your own chicken and feed the garden scraps to get good eggs. Or shop the farmers market.",quality,"shit, good, bland",,
335,Brattiest thing I’ll say all month but i must speak my truth: Full offense I hate that I can’t take my dog with me to run errands also why can’t they sell beer at the farmers market,availability,"sell, beer",,
336,marengo town forum logic: trying to ban a FARMERS MARKET but throwing a town wide party over the approval of a gun range. smfh,NR,,,
337,"@neilworms Part of me feel like buying food away farmers market addresses the environmental concerns. As for ""rewarding"" bad behavior, I don't know what to say about that.",economics,buying,,
338,I'm about to go to the farmers market to just sketch and draw and not buy anything kdjsjsjsj,environment,"sketch, draw",,
339,"Sunday, Corey Chatman from Experimental Station helps unravel the byzantine situation that might lead to thousands of people losing the ability to use their #SNAP benefits at U.S. farmers markets. If that sounds outrageous to... https://t.co/P14lYYDXdu",economics,benefits,,
340,"@brycetache Attack on the poor begins. After July 31st, SNAP/Food stamps can no longer be used at Farmer's Markets...

https://t.co/SkupRSQ3ke",economics,poor,,
341,@theClaudiaInez Wore my Nasty Woman t-shirt to the farmers market this morning and all I got were compliments! Mostly from other older women who said the Women's March was the first time in their lives that they marched.,NR,,,
342,Kaylan & I are going to the farmers market this weekend & that shit sounds like a major bop,environment,bop,,
343,Stop getting outraged about finding bugs/small animals in your farmers market produce. Just wash your produce and move on with your life.,quality,"bugs, small, animals",,
344,@ByYourLogic As opposed to Commentary where Johnny Podz confuses Mr. Bean for a new upscale farmers’ market delivery service he can’t wait to misuse and abuse.,NR,,,
345,"was out for 5 1/2 hours (farmers market, Wrigley area before game, Lit Fest, passing Midsommarfest) but it felt like much longer w/rain, Cubs losing, lack of $ or rain protection, not feeling well, etc. etc. ...going out again",NR,,,
346,Grocery-store fruit often has less flavor than farmers' market offerings; does it have fewer vitamins as well? Or does food that tastes bland still have all the nutrients?,quality,"bland, nutrients, vitamins, flavor",,
347,i remember years ago when i graduated college i signed up nextdoor thinking i'd find out about a farmers market or some shit and i got banned immediately for calling everyone on there cops,NR,,,
348,"Sometimes a flavor you had only once sticks in your head. 4yr ago at Your Dekalb Farmers Market, I bought pressed Honeycrisp apple juice that wasn't uv-treated or pasteurized, and it was absolutely clear. Took a sip, saw God, and the bottle was empty. 🍎",quality,"uv-treated, pasteurized, flavor",,
349,"The farmers market accepts Link/SNAP. I don't even shop at the farmers market. Homemade organic apple pies are a luxury not in my budget because taxes are taken out to support people who can, in turn, buy homemade organic apple pie",economics,budget,,
350,Expensive Farmer’s Market https://t.co/6eUupX5EhB,economics,Expensive,,
351,"What's happened is complicated, but the result is simple and very bad. https://t.co/ut6Und9SAC",NR,,,
352,If you ain't taking yo girl to the farmers market to cop some fresh ass produce you lacking boy,quality,fresh,,
353,@kobelt87 Will I went to the farmers market and I got a terrible bite on my ankle and arm these mosquitoes are to savages.,environment,"mosquitoes, terrible",,
354,True story. There are signs all over my neighborhood with a photo of a white supremacist who was spewing hate at the farmers market the other weekend. It’s 2018 and people have to post signs warning others of a nazi.,NR,,,
355,"Many of us have questions as we go through life, some of them being serious and others, not so much. https://t.co/WfeHMZsNTk",NR,,,
356,@DownersGrvPatch Kicking off #MemorialDayWeekend2018 on a Saturday morning with a stop for donuts at the Downers Grove Farmers Market | #il06 #SaturdayMorning https://t.co/byLTZWrslq,NR,,,
357,fucked up how all farmers’ markets are in the pocket of Big Kettle Corn,economics,pocket,,
358,"@jalaffler @Boulevard_Beer Like anything you buy, trust the retailer of the product. If you buy beef from a butcher at a farmers market and it sucks, do you blame the cow? No. Buy any product, from a source you trust, with any product, but especially a live product like beer, wine, or cheese!",quality,,,
359,There is at least one pyramid scheme at every farmers market,environment,"every, at",,
360,I'm trying to go get drunk at the farmers market today tbh.,NR,,,
361,These farmers’ market eggs really tasting like scrambled gold,quality,"gold, tasting",,
362,@brazi__ Same place I was just worried I wasn't going to be able to resign the lease. Also it's been 5 months and we have not seen each other once!! Farmers market and chill next Sunday?,NR,,,
363,"Okay ladies so this is for science (aka to help formulate topics of discussion and solve problems in architecture): 
What are some main things that you hate about farmers markets (i.e. Layout, no places to sit, etc)??",environment,"architecture, layout, sit, places",,
364,"So far my eavesdropping at the farmers market has been:
1. ""Let me tell you about the iPad, iPhone problem!"" - 2 older ladies at Starbucks
2. Man 1: ""did you lose your man card?""
Man 2, wearing a shirt that just said TRUMAN: ""I threw my propane tank RIGHT in the trash.""",NR,,,
365,SNAP shoppers can get up to $40 esxtra to spend on fresh produce this week at the Champaign Farmers Market from 3:30-6:30 in the parking lot by Neil & Main in Downtown Champaign. Let’s make this a great October for our local farmers! https://t.co/Bo93unWH3U,economics,$,,
366,"One draw of living in Oak Park is the Farmers' Market, a dynamic, open-air, producer-only market held from 7 a.m. to 1 p.m. (rain or shine) every Saturday through October. The market is held in the Pilgrim Church... https://t.co/CnTRWvvzdc",environment,"dynamic, open-air, producer-only",,
367,"Support local growers and farmers 👩🏼‍🌾 👨🏻‍🌾 
.
Quincy Farmers Market In @thedistrictquincy. Saturday’s from 7a-12p with FREE activities and goodies from @quincymedgroup 
.
#quincyil #rightonq #farmersmarket... https://t.co/UvpS20q8D8",NR,,,
368,Thanks to all those who supported our vendors on Saturday. Join us this Saturday for another outdoor Farmers' Market. https://t.co/lKYonwQIot,NR,,Business,
369,best thing about mariano’s is the fresh squeezed orange juice sold by the half gallon. farmers market whom?,quality,fresh,,
370,tomorrow i will go to the sex shop and the farmers market and what i will not do is read Capital in public,NR,,,
371,We are here this morning! Look for the pumpkins and mini pumpkin habaneros! #GordonHeat @ Old Capitol Farmers Market https://t.co/YYnAx8r93H,NR,,,
372,Our lovely hardwood bicycle basket is PERFECT for a ride to the Farmers' Market: https://t.co/SXRfWhoaqc #madeinUSA #basket https://t.co/lOLJkN6OzS,NR,,Business,
373,Another fun summer day. We went to the farmers market and tried a different park out!  #sundayfunday #babyvega #lifeisgood #cuterthanmost https://t.co/cNMPP4jDEf,environment,fun,,
374,"Good Morning from the Schaumburg Farmers Market
What a gorgeous,  breezy morning. 
We're here today  every Friday morning from 7 a.m.-1 p.m. 
Come on out and sample #rollickingbuckaroopepperjam and pickup your jar or two. 
Checkout our upcoming events https://t.co/GUyhF5oN5L",NR,,Business,
375,"Its Thursday so its Farmers market day (@ Richard J. Daley Center in Chicago, IL) https://t.co/C9OkJPgATt https://t.co/iVNOfbbGdQ",NR,,,
376,Give Blood. Give Life. Be a Hero!  Donate this Thursday at CGH Medical Center and get a coupon for the Twin City Farmers Market and be entered to win your chance at $50 in gift certificates for the market! https://t.co/PB6nAEYYvk,NR,,Business,
377,"WALK IN THE PARK! After I finished up the broadcast from the @ILStateFair Farmers’ Market, I stopped by Lincoln Park for three laps before calling it a day. https://t.co/AKgyP4T0XH",NR,,,
378,Batavia farmers market still draws crowd in 23rd year https://t.co/5C7xpm8IvR,environment,crowd,,
379,@day_bowbow Farmers Markets are becoming quiet corporate imo,economics,corporate,,
380,"Optional survey for WIC participants:
This survey is for a study that will investigate the benefits and barriers to using Women, Infant, and Children (WIC) farmers’ market checks.
By completing the survey, you will... https://t.co/IdWMzgNaAH",NR,,,
381,Love from the Kankakee Farmers Market https://t.co/w6UGtJT6xG,NR,,Business,
382,GUESS Debuts Farmers Market Capsule Collection https://t.co/sltlahVyL6 via @CNKDaily,NR,,Business,
383,Some friends making a pumpkin at the last #foxlakefarmersmarket of the season! #libraries #librariesofinstagram #outinthecommunity #foxlake @ Fox Lake Farmers Market https://t.co/BgexWslMpb,NR,,,
384,"I made it to Portage Park Farmers Market, FINAL DAY of (Six Corners) Sears (separate thread later), Southport Arts Festival, Taste of Chicago, & friend's legendary cookout at bar. so far...",environment,,,
385,Do you know how close your #Chicago #apartment is to a #FarmersMarket? Head to our blog to find out: https://t.co/NCJiFicYKI https://t.co/QKABlQ3zsz,NR,,Business,
386,Calling all musicians!!! The Downtown Hyde Park Farmers Market is looking for you to potentially play at the market on Thurs June 7- October 25! Slots are 1.5 hours long w/ a stipend provided...Interested? Send your bio & links to Amy at acsrodon@uchicago.edu https://t.co/o7ToTdkTOw,environment,musicians,,
387,Want to learn more about our team? Stop by our booth at the Urbana farmers market this Saturday morning from 7:00 to 1:00!,NR,,Business,
388,The top of @HopsmithTavern has #livemusic and a #retractableroof for a #finedining experience. @ Division Street Farmers Market https://t.co/paxCqaH7At,environment,"live, music, roof, finedining, experience",,
389,"The Farmers Market at Central Park is Now Open | City of Moore
https://t.co/zU0BSFIOkz",NR,,Business,
390,"Whether you want to know the origin of a particular food, how to prepare an ingredient or a creative way to cook a dish, someone at your local farmers market will know the answer. https://t.co/Bm2rDid8pe",convenience,,,
391,"Weekend plans: BUY ALL THE TOMATOES. #farmersmarket #glenviewparkdistrict #glenviewpkdist #farmlife #tomatoes #summer #farmtotable #organic #fruit #veggies 
https://t.co/Lg6Ph57Wsx https://t.co/7CHzg4JbZC",NR,,,
392,"The StreetWise Farmer's Market guide has info on 50+ #Chicago area markets, including @LSRCC_Chicago's Lincoln Square and Ravenswood Farmers Markets! Visit your favorite vendor. OUT NOW! https://t.co/UCpPpuvRTm",NR,,Business,
393,"We’re turning up the beet at this week’s Farmers’ Market! Join us on Thursday, May 10, for your chance to get one of these totes. The Illinois Products Farmers’ Market runs from 4-7 p.m. at the Illinois State Fairgrounds. #FarmersMarket2018 https://t.co/V41ps1Kg1X",NR,,Business,
394,"Presto Pesto is at the Farmers Markets this week, Rain or Shine! Catch us at the Englewood Farmers Market on Thursday, at the Venice Farmers Market on Saturday, & in Punta Gorda at the History Park Farmers Market on Sunday! https://t.co/fCil6Kfd5z for all the info! #glutenfree https://t.co/nJxU2hopNu",NR,,Business,
395,"Shop like a local at the farmers markets & garden centers of the Aurora Area! #EnjoyAurora all season long, where memories have grown for generations. Pictured: @abbeyfarmsIL  in Aurora, Illinois. Read more at https://t.co/LiUpVSaZXo https://t.co/S99npsx2i9",NR,,Business,
396,TONIGHT! Join @geraldncamille for the 3rd show of our bi-monthly summer residency at Middleton's on Main! We are playing immediately following the Wauconda Farmers Market starting at 7:00 PM! Come in for $5 Glasses and 1/2 off Bottles of Selected Wines and some great Live Music! https://t.co/gHUWz6Xboe,NR,,Business,
397,"Smell of fresh #donuts in the air, local business owners, parking for bike, scooters, strollers and labradoodles!  @VillageofCH #FarmersMarket #seeyouthere https://t.co/RywYiYXDK3",environment,"smell, air",,
398,An organic farmers market https://t.co/2c66GStCAv,quality,organic,,
399,"@TheDreamGhoul I think you should explore the difference between selective breeding and genetic modification, and farmers market corn compared to Monsanto corn.",quality,genetic modification,,
400,It’s too hot to cook so come enjoy dinner at the Farmers Market TONIGHT! Specially prepared by this weeks Firehouse Celebrity Chefs 👨🏼‍🚒👨‍🍳 — at Wauconda Farmers Market https://t.co/g1ecO8ddis,NR,,Business,
401,"@sraichlen I just bought a homemade jar of Gochujang sauce from my farmers market. What to do, what to do? Wanna share a favorite recipe?",NR,,,
402,Hey Andersonville! Come on by and say hi to Mia while getting your soap fix! She'll be there from 3pm to 7pm today. @ Andersonville Farmers Market https://t.co/VtOJG3LcPy,NR,,Business,
403,"I just signed up on the ""Ravenswood Farmers Market Guest Vendor Sign Up"" page for Second Vendor https://t.co/mUsSwSVlBG  via @signupgenius",NR,,,
404,"The beet goes on every Saturday morning at the Glenview Farmers Market! (Through Oct 27) #glenviewpkdist #glenviewparkdistrict #farmersmarket #pun #farmlife
https://t.co/Lg6Ph4QlAZ https://t.co/RRBwvVGHY7",NR,,,
405,"Make sure to stop by the weekly Elgin Farmer's Market! It is open from 3 to 7 p.m. on Grove Avenue near DuPage Court. 

See you there!

#ElginIL #FarmersMarket #BuyLocal https://t.co/FX0OPOPEri",NR,,Business,
406,Choose your local farmers market to to be #healthy with fresher veggies - https://t.co/oflllSmTM4 https://t.co/DaODAqHIDK,quality,"healthy, fresher",,
407,"How are you spending Saturday morning?
#poll #glenviewparkdistrict #farmersmarket #shoplocal #farm #healthy #veggies
https://t.co/Lg6Ph4QlAZ",NR,,,
408,Peg Hoover Photography graces Farmers Market - Kokomo Perspective https://t.co/9CuvzTwd08,environment,photography,,
409,Perhaps the village could have told the construction company this street is used for Farmers Market parking on Saturdays? https://t.co/i4s3JPyKCu,convenience,parking,,
410,Have you tried #localtofu before? Come to the @edgechamber Edgewater Farmers Market this Sat at the #BroadwayArmory and sample the #besttofu in Chicago made right here in #Edgewater!  https://t.co/zurIYuj1tm https://t.co/uFu0voD3MR,quality,local,Business,
411,"Recipe of the day: Baked Zucchini Fries  If you don’t have lots of zucchini in your garden (and none of your neighbors have abandoned their extras on your front porch), you can pick some up at our farmers markets to try out this recipe. https://t.co/lQvT7EFmTL",availability,have,Business,
